UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
ROBBERY,191510360,5/31/19,472 COURTLAND ST NE,509,Downtown,M,33.76763,-84.38419
ROBBERY,191511609,5/31/19,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623
ROBBERY,191511411,5/31/19,1342 PRYOR RD SW,305,High Point,Y,33.7185,-84.39341
AGG ASSAULT,191510268,5/31/19,151 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68148,-84.39422
AGG ASSAULT,191511544,5/31/19,1083 EUCLID AVE NE,602,Inman Park,N,33.76323,-84.35155
AGG ASSAULT,191511547,5/31/19,575 IRA ST SW,303,Mechanicsville,V,33.7391,-84.40013
AGG ASSAULT,191511049,5/31/19,345 10TH ST NE,503,Midtown,E,33.7815,-84.37599
AGG ASSAULT,191502595,5/31/19,3810 CAMBELTON RD,413,,P,33.69028,-84.51343
AGG ASSAULT,191512042,5/31/19,1058 HOWELL MILL RD NW,501,Home Park,E,33.78345,-84.4119
AGG ASSAULT,191512145,5/31/19,960 ALLENE AVE SW,301,Adair Park,V,33.72874,-84.41337
AGG ASSAULT,191512267,5/31/19,512 LUCKIE ST NW,504,Downtown,M,33.76926,-84.39619
BURGLARY,191511705,5/31/19,1353 FINLEY ST NE,609,Edgewood,O,33.75625,-84.34316
BURGLARY,191510975,5/31/19,1525 VENETIAN DR SW,403,Venetian Hills,S,33.7148,-84.43849
BURGLARY,191510893,5/31/19,1576 BREWER BLVD SW,306,Sylvan Hills,X,33.71186,-84.41665
BURGLARY,191511455,5/31/19,260 HUNNICUTT ST NW,504,Downtown,M,33.7687,-84.39239
BURGLARY,191511253,5/31/19,2031 CHICAGO AVE NW,107,Grove Park,J,33.76485,-84.45386
BURGLARY,191510872,5/31/19,1228 KENILWORH DR SW,403,Venetian Hills,S,33.72161,-84.4339
BURGLARY,191512515,5/31/19,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76462,-84.36561
BURGLARY,191510656,5/31/19,785 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77602,-84.36358
BURGLARY,191510693,5/31/19,2247 CASCADE RD SW,406,Cascade Avenue/Road,S,33.72272,-84.46205
BURGLARY,191510803,5/31/19,412 SAWTELL AVE SE,307,Lakewood Heights,Y,33.70822,-84.37541
BURGLARY,191511005,5/31/19,40 PEACHTREE VALLEY RD NE,207,,E,33.81097,-84.39154
BURGLARY,191511325,5/31/19,2115 MONROE DR NE,212,Piedmont Heights,F,33.81007,-84.3713
BURGLARY,191510721,5/31/19,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425
BURGLARY,191511929,5/31/19,1069 GLENWOOD AVE SE,607,Ormewood Park,W,33.7401,-84.35229
BURGLARY,191511286,5/31/19,3761 CAMPBELLTON RD SW,412,Kings Forest,P,33.69087,-84.51166
BURGLARY,191510346,5/31/19,222 TUSKEGEE ST SE,304,Peoplestown,V,33.72865,-84.38042
LARCENY-NON VEHICLE,191511212,5/31/19,834 HANK AARON DR SE,304,Summerhill,V,33.73206,-84.38764
LARCENY-NON VEHICLE,191511152,5/31/19,655 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76094,-84.36599
LARCENY-NON VEHICLE,191511653,5/31/19,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY-NON VEHICLE,191512118,5/31/19,2045 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.7774,-84.45214
LARCENY-NON VEHICLE,191511895,5/31/19,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921
LARCENY-NON VEHICLE,191511194,5/31/19,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947
LARCENY-NON VEHICLE,191511305,5/31/19,842 PEACHTREE ST NE,505,Midtown,E,33.77756,-84.38482
LARCENY-NON VEHICLE,191511410,5/31/19,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521
LARCENY-NON VEHICLE,191511116,5/31/19,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-NON VEHICLE,191511129,5/31/19,650 PONCE DE LEON AVE NE @STAPLES - PONCE,614,Midtown,E,33.77469,-84.36561
LARCENY-FROM VEHICLE,191510677,5/31/19,3123 ELEANOR TER NW,112,Collier Heights,I,33.77746,-84.4887
LARCENY-FROM VEHICLE,191511106,5/31/19,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77358,-84.40496
LARCENY-FROM VEHICLE,191510516,5/31/19,2707 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.77774,-84.47583
LARCENY-FROM VEHICLE,191510085,5/31/19,333 W PEACHTREE ST NE,508,Downtown,M,33.76376,-84.38742
LARCENY-FROM VEHICLE,191510007,5/31/19,3340 PEACHTREE RD NE,208,North Buckhead,B,33.84743,-84.37089
LARCENY-FROM VEHICLE,191510002,5/31/19,ETHEL ST NW / TUMLIN ST NW,501,Home Park,E,33.7845,-84.40061
LARCENY-FROM VEHICLE,191511294,5/31/19,1130 PEACHTREE STREET NE,503,Downtown,M,33.75595,-84.38601
LARCENY-FROM VEHICLE,191511184,5/31/19,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742
LARCENY-FROM VEHICLE,191512496,5/31/19,758 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36228
LARCENY-FROM VEHICLE,191512473,5/31/19,540 PHARR RD NE,206,Buckhead Village,B,33.83707,-84.37018
LARCENY-FROM VEHICLE,191512464,5/31/19,707 MIAMI CIR NE,211,Lindbergh/Morosgo,B,33.8291,-84.36395
LARCENY-FROM VEHICLE,191512241,5/31/19,144 MORELAND AVE NE,606,Reynoldstown,N,33.75736,-84.3496
LARCENY-FROM VEHICLE,191511506,5/31/19,42 FORSYTH ST NW,508,Downtown,M,33.75584,-84.39062
LARCENY-FROM VEHICLE,191511342,5/31/19,180 WALKER ST SW,507,Castleberry Hill,M,33.74964,-84.40132
LARCENY-FROM VEHICLE,191511321,5/31/19,3599 MARTIN L KING JR DR NW,111,Adamsville,H,33.75933,-84.50433
LARCENY-FROM VEHICLE,191511304,5/31/19,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328
LARCENY-FROM VEHICLE,191510539,5/31/19,193 MOURY AVE SW,305,The Villages at Carver,Y,33.71549,-84.39197
LARCENY-FROM VEHICLE,191512050,5/31/19,3620 GINNIS CT SW,407,Fairburn Mays,H,33.73141,-84.51195
LARCENY-FROM VEHICLE,191511744,5/31/19,580 10 TH ST,502,,E,33.78185,-84.36928
LARCENY-FROM VEHICLE,191511679,5/31/19,200 PEACHTREE ST NW,508,Downtown,M,33.75889,-84.38806
LARCENY-FROM VEHICLE,191510904,5/31/19,2450 MEMORIAL DR SE,611,East Lake,O,33.74741,-84.30694
LARCENY-FROM VEHICLE,191511805,5/31/19,759 W PEACHTREE ST NE,505,Midtown,E,33.77538,-84.38696
LARCENY-NON VEHICLE,191511158,5/31/19,3445 PACES FOREST RD NW,202,West Paces Ferry/Northside,A,33.84904,-84.42461
LARCENY-NON VEHICLE,191510777,5/31/19,835 OGLETHORPE AVE SW,401,West End,T,33.73592,-84.41564
LARCENY-NON VEHICLE,191511318,5/31/19,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,191511281,5/31/19,985 MEMORIAL DR SE,606,Reynoldstown,N,33.74627,-84.355
LARCENY-NON VEHICLE,191512134,5/31/19,2265 PERRY BLVD NW,110,Scotts Crossing,G,33.80595,-84.46416
LARCENY-NON VEHICLE,191512133,5/31/19,3344 PEACHTREE RD NE,208,North Buckhead,B,33.84652,-84.36834
LARCENY-NON VEHICLE,191510698,5/31/19,1481 PINE ST NW,207,Loring Heights,E,33.79534,-84.40088
LARCENY-NON VEHICLE,191510711,5/31/19,1740 S GORDON ST SW,404,Westview,T,33.73955,-84.44484
AUTO THEFT,191511953,5/31/19,100 BAGLEY ST NE @FRANKIE ALLEN PARK,206,Garden Hills,B,33.83689,-84.37394
AUTO THEFT,191512043,5/31/19,2305 DONALD LEE HOLLOWELL PKWY NW @CENTER HILL PARK,109,Center Hill,J,33.77704,-84.46053
AUTO THEFT,191511957,5/31/19,568 CHAPPELL RD NW,107,Grove Park,J,33.77075,-84.43407
AUTO THEFT,191511088,5/31/19,3024 MARTIN LUTHER KING JR DR SW,405,Harland Terrace,I,33.7527,-84.48607
AUTO THEFT,191510501,5/31/19,550 WINDSOR ST SW,303,Mechanicsville,V,33.73989,-84.3982
AUTO THEFT,191510615,5/31/19,2069 DUNWOODY ST NE,610,Kirkwood,O,33.75207,-84.3199
AUTO THEFT,191510753,5/31/19,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631
AUTO THEFT,191510759,5/31/19,I-75-85 SB EXPY SW / UNIVERSITY AVE SW,302,Blair Villa/Poole Creek,Z,33.65741,-84.38906
AUTO THEFT,191510901,5/31/19,661 AUBURN AVE NE,604,Old Fourth Ward,M,33.75532,-84.36563
AUTO THEFT,191500592,5/30/19,952 BECKWITH ST SW,104,Ashview Heights,T,33.75229,-84.41868
AUTO THEFT,191501540,5/30/19,29 MORELAND AVE NE,609,Edgewood,O,33.75432,-84.34909
AUTO THEFT,191500350,5/30/19,449 MORELAND AVE NE,608,Candler Park,N,33.76667,-84.34891
AUTO THEFT,191500401,5/30/19,250 FULTON ST SW,303,Mechanicsville,V,33.74182,-84.39607
AUTO THEFT,191500403,5/30/19,3746 CROSBY DR NW,114,Carroll Heights,H,33.7726,-84.51011
AUTO THEFT,191500446,5/30/19,2693 WASHINGTON ST NW,112,Collier Heights,I,33.77388,-84.47572
AUTO THEFT,191502393,5/30/19,3639 PEACHTREE RD NE,210,Ridgedale Park,B,33.85373,-84.35777
AUTO THEFT,191500237,5/30/19,343 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.74569,-84.41786
LARCENY-NON VEHICLE,191502220,5/30/19,631 BROADVIEW PL NE,211,Lindbergh/Morosgo,B,33.82105,-84.36345
LARCENY-NON VEHICLE,191501556,5/30/19,704 CONNALLY ST SE,304,Summerhill,V,33.73543,-84.38072
LARCENY-NON VEHICLE,191501687,5/30/19,537 PARK AVE SE @GRANT PARK,605,Grant Park,W,33.74031,-84.37167
LARCENY-NON VEHICLE,191501623,5/30/19,3755 PEACHTREE RD NE,210,Ridgedale Park,B,33.85566,-84.34884
LARCENY-NON VEHICLE,191501980,5/30/19,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623
LARCENY-NON VEHICLE,191500739,5/30/19,1530 WOODBINE AVE SE @COAN COMMUNITY CENT,610,Kirkwood,O,33.75194,-84.33668
LARCENY-NON VEHICLE,191500743,5/30/19,4001 POWERS FERRY RD NW,202,Chastain Park,A,33.86639,-84.3893
LARCENY-NON VEHICLE,191501123,5/30/19,2786 OLD HAPEVILLE RD SW,312,Glenrose Heights,Z,33.67904,-84.39327
LARCENY-NON VEHICLE,191500842,5/30/19,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409
LARCENY-NON VEHICLE,191500386,5/30/19,953 MORELAND AVE SE,607,Ormewood Park,W,33.72868,-84.34974
LARCENY-NON VEHICLE,191500647,5/30/19,3518 BOLFAIR DR NW,114,Carroll Heights,H,33.77714,-84.50256
LARCENY-NON VEHICLE,191502433,5/30/19,171 6TH ST NE,505,Midtown,E,33.77709,-84.38185
LARCENY-NON VEHICLE,191500341,5/30/19,80 JESSE HILL JR DR SE @GRADY HOSPITAL,510,Downtown,M,33.75168,-84.38198
LARCENY-NON VEHICLE,191501149,5/30/19,247 MORELAND AVE SE,606,Reynoldstown,N,33.74699,-84.34958
LARCENY-NON VEHICLE,191501394,5/30/19,3850 JONESBORO RD SE @EXPOSITION CENTER,313,South River Gardens,Z,33.65088,-84.36362
LARCENY-NON VEHICLE,191501500,5/30/19,2920 PHARR COURT SOUTH NW,206,Peachtree Heights West,B,33.83536,-84.38608
LARCENY-NON VEHICLE,191500838,5/30/19,1390 NORTHSIDE DR NW,207,Berkeley Park,D,33.79264,-84.40796
LARCENY-NON VEHICLE,191500031,5/30/19,CRESTWELL CIR SW / LOFTY LN SW,407,Thomasville Heights,Z,33.70764,-84.36005
LARCENY-NON VEHICLE,191502463,5/30/19,174 CARROLL ST SE,606,Cabbagetown,N,33.74995,-84.36794
LARCENY-NON VEHICLE,191502024,5/30/19,2284 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81757,-84.35207
LARCENY-NON VEHICLE,191502210,5/30/19,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262
LARCENY-NON VEHICLE,191511010,5/30/19,1090 WHITE OAK AVE SW,402,West End,T,33.73321,-84.42428
LARCENY-FROM VEHICLE,191492306,5/30/19,501 CONNELL AVE SW,309,Perkerson,X,33.68327,-84.40662
LARCENY-FROM VEHICLE,191501147,5/30/19,2300 JONESBORO RD SE,308,Leila Valley,Z,33.69226,-84.3644
LARCENY-FROM VEHICLE,191502605,5/30/19,10TH ST NW / SPRING ST NW,503,Midtown,E,33.78151,-84.38917
LARCENY-FROM VEHICLE,191500154,5/30/19,1080 W PEACHTREE ST,503,Midtown,E,33.7847,-84.38817
LARCENY-FROM VEHICLE,191501505,5/30/19,1943 PEACHTREE RD,207,Brookwood Hills,E,33.80836,-84.39356
LARCENY-FROM VEHICLE,191501872,5/30/19,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568
LARCENY-FROM VEHICLE,191501759,5/30/19,1932 OANA ST SW,306,Sylvan Hills,X,33.70181,-84.41279
LARCENY-FROM VEHICLE,191501658,5/30/19,263 10TH ST NE,503,Midtown,E,33.78218,-84.37867
LARCENY-FROM VEHICLE,191502502,5/30/19,939 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77351,-84.35663
LARCENY-FROM VEHICLE,191502432,5/30/19,1609 JACKSON TRACE CT NW,113,Lincoln Homes,G,33.79976,-84.47582
LARCENY-FROM VEHICLE,191502385,5/30/19,38 JOHN PORTMAN BLVD NE,509,Downtown,M,33.76104,-84.38576
LARCENY-FROM VEHICLE,191502380,5/30/19,64 BOULEVARD SE,604,Old Fourth Ward,M,33.75265,-84.37123
LARCENY-FROM VEHICLE,191502196,5/30/19,668 11TH ST NW,501,Home Park,E,33.78269,-84.40878
LARCENY-FROM VEHICLE,191502151,5/30/19,3012 JONESBORO RD SE,313,South River Gardens,Z,33.67225,-84.37156
LARCENY-FROM VEHICLE,191502556,5/30/19,1071 PIEDMONT AVE NE,502,Midtown,E,33.78385,-84.37868
LARCENY-FROM VEHICLE,191501112,5/30/19,1225 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75605,-84.34813
LARCENY-FROM VEHICLE,191501098,5/30/19,1210 MENLO DR NW,103,Blandtown,D,33.78744,-84.42407
LARCENY-FROM VEHICLE,191500629,5/30/19,1885 WELLBOURNE DR NE,613,Morningside/Lenox Park,F,33.80604,-84.35972
LARCENY-FROM VEHICLE,191500547,5/30/19,570 SPRING ST NW,509,Downtown,M,33.77028,-84.38939
LARCENY-FROM VEHICLE,191500230,5/30/19,468 MORELAND AVE NE,602,Inman Park,N,33.76694,-84.34915
LARCENY-FROM VEHICLE,191500576,5/30/19,450 STONEWALL ST SW,507,Castleberry Hill,M,33.74954,-84.40249
LARCENY-FROM VEHICLE,191500654,5/30/19,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73365,-84.40221
LARCENY-FROM VEHICLE,191501381,5/30/19,1654 S ALVARADO TER SW @APS TUSKEGEE,404,Cascade Avenue/Road,S,33.73111,-84.44125
LARCENY-FROM VEHICLE,191501413,5/30/19,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075
LARCENY-NON VEHICLE,191502505,5/30/19,1630 JONESBORO RD SE,307,Lakewood Heights,Y,33.70722,-84.37976
LARCENY-NON VEHICLE,191500849,5/30/19,3050 MARTIN LUTHER KING JR DRIVE SW,405,Harland Terrace,I,33.75177,-84.4857
LARCENY-NON VEHICLE,191500926,5/30/19,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199
LARCENY-NON VEHICLE,191501374,5/30/19,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921
LARCENY-NON VEHICLE,191501744,5/30/19,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328
LARCENY-NON VEHICLE,191501399,5/30/19,1796 DELOWE DR SW,410,Campbellton Road,R,33.70583,-84.45716
LARCENY-NON VEHICLE,191501095,5/30/19,230 18TH ST NW,501,Atlantic Station,E,33.79161,-84.3981
LARCENY-NON VEHICLE,191501248,5/30/19,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,191501138,5/30/19,680 PONCE DE LEON AVE NE,614,Midtown,E,33.77406,-84.36528
LARCENY-NON VEHICLE,191501134,5/30/19,1176 CHATTAHOOCHEE AVE NW,103,Blandtown,D,33.80058,-84.42561
LARCENY-NON VEHICLE,191500992,5/30/19,261 19TH ST NW,501,Atlantic Station,E,33.79371,-84.39677
LARCENY-NON VEHICLE,191500186,5/30/19,120 MARIETTA ST NW @GLENN BUILDING,507,Downtown,M,33.75713,-84.39294
BURGLARY,191502031,5/30/19,2520 JONESBORO RD SE,308,Leila Valley,Z,33.68463,-84.36481
BURGLARY,191501995,5/30/19,379 ANDREW J HAIRSTON PL NW,506,English Avenue,L,33.76505,-84.41359
BURGLARY,191500355,5/30/19,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473
BURGLARY,191500711,5/30/19,2407 ANTWERP DR SE,310,Browns Mill Park,Z,33.68876,-84.38538
BURGLARY,191500021,5/30/19,717 LEE ST SW,401,West End,T,33.73516,-84.41421
BURGLARY,191501348,5/30/19,214 ADAIR AVE SE,307,Lakewood Heights,Y,33.70642,-84.38107
AGG ASSAULT,191501016,5/30/19,1012 WESTMOOR DR NW,105,Washington Park,K,33.75932,-84.42089
AGG ASSAULT,191500253,5/30/19,2770 CRESCENDO DR NW,112,Collier Heights,I,33.77406,-84.47818
AGG ASSAULT,191500969,5/30/19,2967 METROPOLITAN PKWY SW,311,Hammond Park,X,33.67421,-84.40889
AGG ASSAULT,191501729,5/30/19,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631
AGG ASSAULT,191500138,5/30/19,1100 FOREST VALLEY DR SE,313,South River Gardens,Z,33.64979,-84.35548
AGG ASSAULT,191501774,5/30/19,1500 MCLENDON AVE NE @CANDLER CITY PARK,608,Candler Park,N,33.76497,-84.33827
AGG ASSAULT,191502217,5/30/19,493 WILLARD AVE SW,404,Westview,T,33.7416,-84.43692
ROBBERY,191502088,5/30/19,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631
ROBBERY,191502141,5/30/19,687 CASCADE AVE SW,403,Westview,T,33.73682,-84.43647
ROBBERY,191500051,5/30/19,641 NORTH AVE NE,603,Old Fourth Ward,M,33.77103,-84.36618
ROBBERY,191491867,5/29/19,608 14TH ST NW,501,Home Park,E,33.78578,-84.40707
ROBBERY,191490976,5/29/19,102 OLLIE ST NW @WASHINGTON PARK,105,Washington Park,K,33.75799,-84.42287
ROBBERY,191490733,5/29/19,1058 LENA ST NW,105,Washington Park,K,33.75799,-84.42287
ROBBERY,191491503,5/29/19,1739  MARTIN L KING JR DR NW,104,Mozley Park,K,33.75103,-84.44412
AGG ASSAULT,191492373,5/29/19,349 CLEVELAND AVE SW,309,Perkerson,X,33.68123,-84.40109
AGG ASSAULT,191482656,5/29/19,2909 CAMPBELLTON RD SW @CASCADE PINES APTS,409,Southwest,R,33.69872,-84.48418
AGG ASSAULT,191490273,5/29/19,3195 KINGSTON RD NW,112,Collier Heights,I,33.77989,-84.49221
AGG ASSAULT,191491630,5/29/19,1981 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76486,-84.45174
AGG ASSAULT,191482457,5/29/19,93 ALLEN TEMPLE CT NW,111,,I,33.75287,-84.49102
BURGLARY,191491651,5/29/19,1771 FORT VALLEY DR SW,410,Pomona Park,R,33.70665,-84.4508
BURGLARY,191491543,5/29/19,500 NORTHSIDE CIR NW,207,Loring Heights,E,33.79724,-84.40668
BURGLARY,191491040,5/29/19,526 CENTENNIAL OLYMPIC P DR NW,504,Downtown,M,33.7687,-84.39239
BURGLARY,191491629,5/29/19,361 PHARR RD NE,206,Garden Hills,B,33.8366,-84.37554
BURGLARY,191491330,5/29/19,4741 EDWINA LN SW,412,Greenbriar Village,P,33.70379,-84.54199
BURGLARY,191492050,5/29/19,910 WASHINGTON ST,304,Peoplestown,V,33.72992,-84.39063
BURGLARY,191492043,5/29/19,1779 MADRONA ST NW,107,Grove Park,J,33.77074,-84.44512
BURGLARY,191491928,5/29/19,836 WESTMONT RD SW,402,Oakland City,S,33.73243,-84.43715
BURGLARY,191490589,5/29/19,1929 NORTH AVE NW,107,Grove Park,J,33.76871,-84.4506
BURGLARY,191490914,5/29/19,17 TURMAN AVE SE,305,South Atlanta,Y,33.70866,-84.3819
BURGLARY,191491009,5/29/19,1676 ROGERS AVE SW,404,Westview,T,33.73709,-84.44251
BURGLARY,191490195,5/29/19,193 MOURY AVE SW,305,The Villages at Carver,Y,33.71549,-84.39197
BURGLARY,191491773,5/29/19,2959 1ST AVE SW,311,Hammond Park,X,33.67447,-84.40163
BURGLARY,191491568,5/29/19,361 PHARR RD NE,206,Garden Hills,B,33.8366,-84.37554
BURGLARY,191490875,5/29/19,1341 METROPOLITAN PKWY SW,301,Capitol View,X,33.71805,-84.40809
BURGLARY,191490857,5/29/19,2625 MARTIN L KING JR DR NW,111,Harland Terrace,I,33.75407,-84.47354
BURGLARY,191490808,5/29/19,327 MEMORIAL DR SE,605,Grant Park,W,33.74656,-84.37679
BURGLARY,191490388,5/29/19,111 PEACHTREE ST SW,512,Downtown,M,33.75165,-84.39259
BURGLARY,191491065,5/29/19,949 HILL ST SE,304,Peoplestown,V,33.72856,-84.37878
BURGLARY,191491317,5/29/19,127 MEADOW PARK LN SW,310,Browns Mill Park,Z,33.68912,-84.39293
BURGLARY,191490076,5/29/19,855 W PEACHTREE ST NE,505,Midtown,E,33.77773,-84.38718
BURGLARY,191492006,5/29/19,3200 SPREADING OAK DR SW,406,East Ardley Road,I,33.73063,-84.49267
BURGLARY,191491457,5/29/19,2280 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70473,-84.4623
BURGLARY,191490668,5/29/19,2545 JONESBORO RD SE,310,Browns Mill Park,Z,33.68464,-84.3668
BURGLARY,191490911,5/29/19,1690 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75143,-84.44225
LARCENY-NON VEHICLE,191492146,5/29/19,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY-NON VEHICLE,191490989,5/29/19,439 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76101,-84.37345
LARCENY-NON VEHICLE,191490987,5/29/19,3885 JONESBORO RD SE @HOME DEPOT,313,South River Gardens,Z,33.64883,-84.36584
LARCENY-NON VEHICLE,191490969,5/29/19,3509 MARTIN L KING JR DR NW,111,Adamsville,H,33.7581,-84.50258
LARCENY-NON VEHICLE,191490567,5/29/19,13 DECATUR ST SE,511,Downtown,M,33.75403,-84.38947
LARCENY-FROM VEHICLE,191491639,5/29/19,327 PETERS ST SW,507,Castleberry Hill,M,33.74586,-84.40382
LARCENY-FROM VEHICLE,191490500,5/29/19,861 ARLINGTON PL NE,601,Virginia Highland,F,33.77812,-84.35121
LARCENY-FROM VEHICLE,191490417,5/29/19,1103 LANIER BLVD NE,601,Virginia Highland,F,33.7844,-84.35094
LARCENY-FROM VEHICLE,191491668,5/29/19,2687 ROSEMARY ST NW,103,Riverside,D,33.81338,-84.47604
LARCENY-FROM VEHICLE,191492047,5/29/19,360 MARIETTA ST NW @MBS LOT G,507,Downtown,M,33.76269,-84.39702
LARCENY-FROM VEHICLE,191490160,5/29/19,700 MCGRUDER ST NE,604,Old Fourth Ward,M,33.7586,-84.36513
LARCENY-FROM VEHICLE,191490019,5/29/19,736 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77386,-84.3631
LARCENY-FROM VEHICLE,191492081,5/29/19,38 JOHN PORTMAN BLVD NE,509,Downtown,M,33.76104,-84.38576
LARCENY-FROM VEHICLE,191490317,5/29/19,2891 PARROT AVE NW,103,Whittier Mill Village,D,33.80957,-84.4819
LARCENY-FROM VEHICLE,191490979,5/29/19,879 LULLWATER PKWY NE,608,Druid Hills,N,33.77809,-84.33287
LARCENY-FROM VEHICLE,191491311,5/29/19,3849 BROWNS MILL RD SW,312,Glenrose Heights,Z,33.65279,-84.39361
LARCENY-FROM VEHICLE,191490632,5/29/19,146 TURMAN AVE,307,Lakewood Heights,Y,33.7085,-84.38423
LARCENY-FROM VEHICLE,191491506,5/29/19,3390 STRATFORD RD NE,208,North Buckhead,B,33.84983,-84.36779
LARCENY-FROM VEHICLE,191492093,5/29/19,70 COURTLAND ST NE,510,Downtown,M,33.75638,-84.38436
LARCENY-FROM VEHICLE,191490012,5/29/19,327 MEMORIAL DR SE,605,Grant Park,W,33.74656,-84.37679
LARCENY-FROM VEHICLE,191492310,5/29/19,600 PONCE DE LEON AVE NE,614,Midtown,E,33.77376,-84.36722
LARCENY-FROM VEHICLE,191492136,5/29/19,930 JUNIPER ST NE,503,Midtown,E,33.78,-84.38272
LARCENY-FROM VEHICLE,191492137,5/29/19,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65571,-84.50908
LARCENY-FROM VEHICLE,191492295,5/29/19,2 COPENHILL AVE NE,602,Inman Park,N,33.7635,-84.35734
LARCENY-FROM VEHICLE,191492206,5/29/19,1125 SEABOARD AVE NE,606,Reynoldstown,N,33.75821,-84.35046
LARCENY-FROM VEHICLE,191492236,5/29/19,195 MILLS ST NW,504,Downtown,M,33.76541,-84.39373
LARCENY-FROM VEHICLE,191492247,5/29/19,758 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36228
LARCENY-FROM VEHICLE,191492248,5/29/19,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82266,-84.3643
LARCENY-FROM VEHICLE,191492275,5/29/19,3335 MARTIN L KING JR DR NW,111,Adamsville,H,33.7551,-84.49652
LARCENY-FROM VEHICLE,191492158,5/29/19,128 E ANDREWS DR NW,206,South Tuxedo Park,B,33.84251,-84.38311
LARCENY-FROM VEHICLE,191490510,5/29/19,772 CHARLES ALLEN DR NE,614,Midtown,E,33.77577,-84.37312
LARCENY-FROM VEHICLE,191491438,5/29/19,1361 DONALD LEE HOLLOWEL PKWY NW,106,Hunter Hills,K,33.76008,-84.43698
LARCENY-FROM VEHICLE,191491850,5/29/19,376 ROY ST SW,302,Pittsburgh,V,33.72404,-84.40041
LARCENY-NON VEHICLE,191490901,5/29/19,504 FAIR ST SW,507,Castleberry Hill,M,33.74848,-84.40423
LARCENY-NON VEHICLE,191491813,5/29/19,1688 PEACHTREE ST NW @Multiple,207,Brookwood,E,33.79939,-84.3926
LARCENY-NON VEHICLE,191491127,5/29/19,1800 HOWELL MILL RD NW,204,Underwood Hills,D,33.80454,-84.41368
LARCENY-NON VEHICLE,191498043,5/29/19,6000 NORTH TERMINAL PKWY,705,,,33.64072,-84.44435
LARCENY-NON VEHICLE,191491913,5/29/19,2 JOSEPH E LOWERY BLVD SW,101,Atlanta University Center,T,33.75462,-84.41744
