UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723,
BURGLARY,201510016,05/30/2020,3225 PEACHTREE RD NE,206,Buckhead Village,B,33.84245,-84.37269,
BURGLARY,201510038,05/30/2020,3535 PEACHTREE RD NE @TARGET - PEACHTREE,210,Lenox,B,33.85182,-84.3595,
BURGLARY,201510300,05/30/2020,3431 LENOX RD NE,210,,,0,0,
BURGLARY,201510448,05/30/2020,3637 PEACHTREE RD NE @ANTWERP DIAMONDS,210,Lenox,B,33.85325,-84.35832,
ROBBERY,201510449,05/30/2020,1299 NORTHSIDE DR NW,207,Loring Heights,E,33.79201,-84.40569,
BURGLARY,201510554,05/30/2020,3651 PIEDMONT RD NE,209,North Buckhead,B,33.85419,-84.38236,
BURGLARY,201510572,05/30/2020,3330 PIEDMONT RD NE,208,Buckhead Forest,B,33.84621,-84.37277,
BURGLARY,201510594,05/30/2020,3802 ROSWELL RD NE,209,East Chastain Park,B,33.85865,-84.38102,
