UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY,191511411,05/31/2019,1342 PRYOR RD SW,305,High Point,Y,33.7185,-84.39341,
AGG ASSAULT,191510268,05/31/2019,151 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68148,-84.39422,
AGG ASSAULT,191511547,05/31/2019,575 IRA ST SW,303,Mechanicsville,V,33.7391,-84.40013,
AGG ASSAULT,191512145,05/31/2019,960 ALLENE AVE SW,301,Adair Park,V,33.72874,-84.41337,
BURGLARY,191510893,05/31/2019,1576 BREWER BLVD SW,306,Sylvan Hills,X,33.71186,-84.41665,
BURGLARY,191510803,05/31/2019,412 SAWTELL AVE SE,307,Lakewood Heights,Y,33.70822,-84.37541,
BURGLARY,191510346,05/31/2019,222 TUSKEGEE ST SE,304,Peoplestown,V,33.72865,-84.38042,
LARCENY-NON VEHICLE,191511212,05/31/2019,834 HANK AARON DR SE,304,Summerhill,V,33.73206,-84.38764,
LARCENY-FROM VEHICLE,191510539,05/31/2019,193 MOURY AVE SW,305,The Villages at Carver,Y,33.71549,-84.39197,
AUTO THEFT,191510501,05/31/2019,550 WINDSOR ST SW,303,Mechanicsville,V,33.73989,-84.3982,
AUTO THEFT,191510759,05/31/2019,I-75-85 SB EXPY SW / UNIVERSITY AVE SW,302,Blair Villa/Poole Creek,Z,33.65741,-84.38906,
AUTO THEFT,191500401,05/30/2019,250 FULTON ST SW,303,Mechanicsville,V,33.74182,-84.39607,
LARCENY-FROM VEHICLE,191501759,05/30/2019,1932 OANA ST SW,306,Sylvan Hills,X,33.70181,-84.41279,
LARCENY-FROM VEHICLE,191502151,05/30/2019,3012 JONESBORO RD SE,313,South River Gardens,Z,33.67225,-84.37156,
LARCENY-FROM VEHICLE,191500654,05/30/2019,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73365,-84.40221,
LARCENY-FROM VEHICLE,191501147,05/30/2019,2300 JONESBORO RD SE,308,Leila Valley,Z,33.69226,-84.3644,
LARCENY-FROM VEHICLE,191492306,05/30/2019,501 CONNELL AVE SW,309,Perkerson,X,33.68327,-84.40662,
LARCENY-NON VEHICLE,191501394,05/30/2019,3850 JONESBORO RD SE @EXPOSITION CENTER,313,South River Gardens,Z,33.65088,-84.36362,
LARCENY-NON VEHICLE,191502210,05/30/2019,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
LARCENY-NON VEHICLE,191501123,05/30/2019,2786 OLD HAPEVILLE RD SW,312,Glenrose Heights,Z,33.67904,-84.39327,
LARCENY-NON VEHICLE,191501556,05/30/2019,704 CONNALLY ST SE,304,Summerhill,V,33.73543,-84.38072,
LARCENY-NON VEHICLE,191502505,05/30/2019,1630 JONESBORO RD SE,307,Lakewood Heights,Y,33.70722,-84.37976,
BURGLARY,191502031,05/30/2019,2520 JONESBORO RD SE,308,Leila Valley,Z,33.68463,-84.36481,
BURGLARY,191501348,05/30/2019,214 ADAIR AVE SE,307,Lakewood Heights,Y,33.70642,-84.38107,
BURGLARY,191500711,05/30/2019,2407 ANTWERP DR SE,310,Browns Mill Park,Z,33.68876,-84.38538,
AGG ASSAULT,191500969,05/30/2019,2967 METROPOLITAN PKWY SW,311,Hammond Park,X,33.67421,-84.40889,
AGG ASSAULT,191500138,05/30/2019,1100 FOREST VALLEY DR SE,313,South River Gardens,Z,33.64979,-84.35548,
AGG ASSAULT,191492373,05/29/2019,349 CLEVELAND AVE SW,309,Perkerson,X,33.68123,-84.40109,
BURGLARY,191490195,05/29/2019,193 MOURY AVE SW,305,The Villages at Carver,Y,33.71549,-84.39197,
BURGLARY,191492050,05/29/2019,910 WASHINGTON ST,304,Peoplestown,V,33.72992,-84.39063,
BURGLARY,191491773,05/29/2019,2959 1ST AVE SW,311,Hammond Park,X,33.67447,-84.40163,
BURGLARY,191490914,05/29/2019,17 TURMAN AVE SE,305,South Atlanta,Y,33.70866,-84.3819,
BURGLARY,191491065,05/29/2019,949 HILL ST SE,304,Peoplestown,V,33.72856,-84.37878,
BURGLARY,191491317,05/29/2019,127 MEADOW PARK LN SW,310,Browns Mill Park,Z,33.68912,-84.39293,
BURGLARY,191490875,05/29/2019,1341 METROPOLITAN PKWY SW,301,Capitol View,X,33.71805,-84.40809,
LARCENY-NON VEHICLE,191490987,05/29/2019,3885 JONESBORO RD SE @HOME DEPOT,313,South River Gardens,Z,33.64883,-84.36584,
BURGLARY,191490668,05/29/2019,2545 JONESBORO RD SE,310,Browns Mill Park,Z,33.68464,-84.3668,
LARCENY-NON VEHICLE,191490800,05/29/2019,876 WASHINGTON ST SW,304,Peoplestown,V,33.73104,-84.39082,
LARCENY-NON VEHICLE,191491500,05/29/2019,1712 RICHMOND AVE SE,307,Lakewood Heights,Y,33.70795,-84.37753,
LARCENY-FROM VEHICLE,191491850,05/29/2019,376 ROY ST SW,302,Pittsburgh,V,33.72404,-84.40041,
LARCENY-FROM VEHICLE,191491311,05/29/2019,3849 BROWNS MILL RD SW,312,Glenrose Heights,Z,33.65279,-84.39361,
LARCENY-FROM VEHICLE,191490632,05/29/2019,146 TURMAN AVE,307,Lakewood Heights,Y,33.7085,-84.38423,
AUTO THEFT,191490577,05/29/2019,1485 CROGMAN ST SE,305,South Atlanta,Y,33.71398,-84.38623,
AUTO THEFT,191490751,05/29/2019,85 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67291,-84.39153,
LARCENY-NON VEHICLE,191480925,05/28/2019,2508 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68603,-84.39152,
LARCENY-NON VEHICLE,191480645,05/28/2019,942 HANK AARON DR SE,304,Peoplestown,V,33.72828,-84.38787,
LARCENY-NON VEHICLE,191481663,05/28/2019,960 BYRON DR SW,306,Sylvan Hills,X,33.71258,-84.41957,
AUTO THEFT,191480767,05/28/2019,801 ERIN AVE SW,301,Capitol View,X,33.71947,-84.41404,
AUTO THEFT,191402099,05/28/2019,1150 ASTOR AVE,306,Sylvan Hills,X,33.70137,-84.42678,
LARCENY-NON VEHICLE,191481033,05/28/2019,1938 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70131,-84.40797,
LARCENY-NON VEHICLE,191480200,05/28/2019,634 WHITEHALL ST SW,303,Adair Park,V,33.74179,-84.40844,
BURGLARY,191481218,05/28/2019,350 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70605,-84.35684,
AGG ASSAULT,191480013,05/28/2019,374 CLEVELAND AVE SW,309,Hammond Park,X,33.68076,-84.40126,
AGG ASSAULT,191482453,05/28/2019,505 TUFTON TRL SE,312,Glenrose Heights,Z,33.66475,-84.38415,
AGG ASSAULT,191471477,05/27/2019,368 BELGARDE PL SE,312,Orchard Knob,Z,33.66443,-84.3782,
AGG ASSAULT,191471326,05/27/2019,398 COLOGNE DR SE,313,Blair Villa/Poole Creek,Z,33.66233,-84.37786,
ROBBERY,191470387,05/27/2019,400 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70606,-84.35892,
BURGLARY,191470284,05/27/2019,65 ATLANTA AVE SW,304,Peoplestown,V,33.7306,-84.3901,
BURGLARY,191471632,05/27/2019,959 CONSTITUTION RD SE,308,Leila Valley,Z,33.69255,-84.35777,
AUTO THEFT,191471469,05/27/2019,2870 METROPOLITAN PKWY SW,311,Hammond Park,X,33.67627,-84.40811,
AUTO THEFT,191471509,05/27/2019,DELEVAN ST SW / HUGO ST SW,302,Pittsburgh,V,33.72658,-84.39756,
AUTO THEFT,191471732,05/27/2019,260 FULTON ST SW,303,Mechanicsville,V,33.74182,-84.39633,
LARCENY-NON VEHICLE,191471014,05/27/2019,1360 PARK AVE SE,305,Chosewood Park,Y,33.71732,-84.37001,
LARCENY-FROM VEHICLE,191471341,05/27/2019,222 OAK DR SE,312,Glenrose Heights,Z,33.6687,-84.38618,
LARCENY-FROM VEHICLE,191471357,05/27/2019,187 MOURY AVE SW,305,The Villages at Carver,Y,33.71449,-84.39138,
LARCENY-FROM VEHICLE,191470470,05/27/2019,1023 ALLENE AVE SW,301,Adair Park,V,33.72694,-84.41382,
LARCENY-FROM VEHICLE,191470925,05/27/2019,823 MARTIN CT SE,308,Thomasville Heights,Z,33.70291,-84.36276,
LARCENY-FROM VEHICLE,191471378,05/27/2019,809 WOODROW ST SW,301,Oakland City,S,33.72374,-84.41451,
LARCENY-FROM VEHICLE,191471665,05/27/2019,464 WINDSOR ST SW,303,Mechanicsville,V,33.74215,-84.3981,
LARCENY-FROM VEHICLE,191460583,05/26/2019,964 HARTE DR SW,306,Sylvan Hills,X,33.70883,-84.4197,
LARCENY-NON VEHICLE,191461089,05/26/2019,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71299,-84.3913,
LARCENY-NON VEHICLE,191461180,05/26/2019,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
AUTO THEFT,191460975,05/26/2019,1093 WEST AVE SW,302,Pittsburgh,V,33.72463,-84.39704,
BURGLARY,191462098,05/26/2019,777 CLEVELAND AVE SW,309,Perkerson,X,33.68171,-84.41482,
BURGLARY,191460868,05/26/2019,1788 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70533,-84.38013,
BURGLARY,191461166,05/26/2019,58 BISBEE AVE SE,305,South Atlanta,Y,33.71653,-84.38641,
BURGLARY,191462199,05/26/2019,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276,
BURGLARY,191461926,05/26/2019,3194 EMPIRE BLVD SW,312,Glenrose Heights,Z,33.66783,-84.39276,
BURGLARY,191461333,05/26/2019,1519 LAKEWOOD AVE SE,305,South Atlanta,Y,33.71298,-84.381,
LARCENY-NON VEHICLE,191461221,05/26/2019,1219 METROPOLITAN PKWY SW,301,Adair Park,V,33.72152,-84.40796,
LARCENY-NON VEHICLE,191461343,05/26/2019,1938 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70131,-84.40797,
ROBBERY,191460422,05/26/2019,52 HAMMOCK PL SE,304,Summerhill,V,33.74149,-84.38591,
AGG ASSAULT,191462067,05/26/2019,1335 BOULEVARD SE,305,Chosewood Park,Y,33.71811,-84.36864,
BURGLARY,191450750,05/25/2019,502 FERDERAL TERR,305,Chosewood Park,Y,33.7153,-84.3715,
BURGLARY,191451045,05/25/2019,1841 LAKEWOOD TER SE,307,Lakewood Heights,Y,33.70391,-84.37979,
AGG ASSAULT,191450487,05/25/2019,755 HANK AARON DR SE,304,Summerhill,V,33.73624,-84.389,
BURGLARY,191451716,05/25/2019,641 COOPER ST SW,303,Mechanicsville,V,33.73773,-84.39714,
BURGLARY,191452091,05/25/2019,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
BURGLARY,191452272,05/25/2019,2175 MACON DR SW,310,Polar Rock,Z,33.69487,-84.39031,
BURGLARY,191440364,05/24/2019,1454 ATHENS AVE SW,301,Capitol View,X,33.71514,-84.40869,
BURGLARY,191441315,05/24/2019,755 MARTIN ST SE,304,Summerhill,V,33.73398,-84.3844,
AGG ASSAULT,191441865,05/24/2019,1025 KIPLING ST SE,308,Thomasville Heights,Z,33.70327,-84.35317,
AGG ASSAULT,191442239,05/24/2019,971 COLEMAN ST SW,302,Pittsburgh,V,33.7284,-84.40416,
LARCENY-NON VEHICLE,191441981,05/24/2019,1412 GRAHAM ST SW,301,Capitol View,X,33.71635,-84.41586,
LARCENY-FROM VEHICLE,191441203,05/24/2019,680 ROSE PALM LN SE,310,Browns Mill Park,Z,33.68837,-84.36646,
LARCENY-FROM VEHICLE,191430979,05/23/2019,806 MURPHY AVE SW,301,Adair Park,V,33.73318,-84.41258,
LARCENY-FROM VEHICLE,191431122,05/23/2019,1093 WEST AVE SW,302,Pittsburgh,V,33.72494,-84.39593,
LARCENY-FROM VEHICLE,191431852,05/23/2019,960 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.70783,-84.35945,
AUTO THEFT,191431348,05/23/2019,675 DILL AVE SW,301,Capitol View,X,33.71858,-84.40975,
AUTO THEFT,191430542,05/23/2019,982 GRANT TER SE,304,Peoplestown,V,33.72762,-84.37946,
LARCENY-NON VEHICLE,191431528,05/23/2019,900 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.70848,-84.35942,
LARCENY-NON VEHICLE,191431141,05/23/2019,1950 RAMBLING DR SW,306,Sylvan Hills,X,33.70135,-84.4062,
AGG ASSAULT,191431081,05/23/2019,211 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68141,-84.39595,
BURGLARY,191431281,05/23/2019,1598 JONESBORO RD SE,307,Lakewood Heights,Y,33.70886,-84.38078,
BURGLARY,191421014,05/22/2019,1626 OAK KNOLL CIR SE,307,Lakewood Heights,Y,33.70908,-84.37824,
BURGLARY,191420714,05/22/2019,1779 RICHMOND AVE SE,307,Lakewood Heights,Y,33.7056,-84.37538,
BURGLARY,191420663,05/22/2019,766 COOPER ST SW,303,Mechanicsville,V,33.73399,-84.39677,
BURGLARY,191421503,05/22/2019,2866 FORREST HILLS DR SW,311,Hammond Park,X,33.67691,-84.39921,
AGG ASSAULT,191420608,05/22/2019,518 FLETCHER ST SW,302,Pittsburgh,V,33.72562,-84.4047,
AGG ASSAULT,191422432,05/22/2019,1040 CREW ST SW,304,Peoplestown,V,33.72621,-84.38898,
AUTO THEFT,191420617,05/22/2019,875 HANK AARON DR SW,304,Summerhill,V,33.73177,-84.38944,
