UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
AGG ASSAULT,191511544,05/31/2019,1083 EUCLID AVE NE,602,Inman Park,N,33.76323,-84.35155,
BURGLARY,191511705,05/31/2019,1353 FINLEY ST NE,609,Edgewood,O,33.75625,-84.34316,
BURGLARY,191512515,05/31/2019,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76462,-84.36561,
BURGLARY,191510656,05/31/2019,785 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77602,-84.36358,
BURGLARY,191511929,05/31/2019,1069 GLENWOOD AVE SE,607,Ormewood Park,W,33.7401,-84.35229,
LARCENY-NON VEHICLE,191511152,05/31/2019,655 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76094,-84.36599,
LARCENY-NON VEHICLE,191511129,05/31/2019,650 PONCE DE LEON AVE NE @STAPLES - PONCE,614,Midtown,E,33.77469,-84.36561,
LARCENY-NON VEHICLE,191511653,05/31/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-FROM VEHICLE,191512496,05/31/2019,758 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36228,
LARCENY-FROM VEHICLE,191512241,05/31/2019,144 MORELAND AVE NE,606,Reynoldstown,N,33.75736,-84.3496,
LARCENY-FROM VEHICLE,191510904,05/31/2019,2450 MEMORIAL DR SE,611,East Lake,O,33.74741,-84.30694,
LARCENY-NON VEHICLE,191511281,05/31/2019,985 MEMORIAL DR SE,606,Reynoldstown,N,33.74627,-84.355,
AUTO THEFT,191510615,05/31/2019,2069 DUNWOODY ST NE,610,Kirkwood,O,33.75207,-84.3199,
AUTO THEFT,191510901,05/31/2019,661 AUBURN AVE NE,604,Old Fourth Ward,M,33.75532,-84.36563,
AUTO THEFT,191501540,05/30/2019,29 MORELAND AVE NE,609,Edgewood,O,33.75432,-84.34909,
AUTO THEFT,191500350,05/30/2019,449 MORELAND AVE NE,608,Candler Park,N,33.76667,-84.34891,
LARCENY-NON VEHICLE,191501687,05/30/2019,537 PARK AVE SE @GRANT PARK,605,Grant Park,W,33.74031,-84.37167,
LARCENY-NON VEHICLE,191500739,05/30/2019,1530 WOODBINE AVE SE @COAN COMMUNITY CENT,610,Kirkwood,O,33.75194,-84.33668,
LARCENY-NON VEHICLE,191500386,05/30/2019,953 MORELAND AVE SE,607,Ormewood Park,W,33.72868,-84.34974,
LARCENY-FROM VEHICLE,191502502,05/30/2019,939 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77351,-84.35663,
LARCENY-FROM VEHICLE,191502380,05/30/2019,64 BOULEVARD SE,604,Old Fourth Ward,M,33.75265,-84.37123,
LARCENY-NON VEHICLE,191501149,05/30/2019,247 MORELAND AVE SE,606,Reynoldstown,N,33.74699,-84.34958,
LARCENY-NON VEHICLE,191502463,05/30/2019,174 CARROLL ST SE,606,Cabbagetown,N,33.74995,-84.36794,
LARCENY-NON VEHICLE,191501138,05/30/2019,680 PONCE DE LEON AVE NE,614,Midtown,E,33.77406,-84.36528,
ROBBERY,191500051,05/30/2019,641 NORTH AVE NE,603,Old Fourth Ward,M,33.77103,-84.36618,
AGG ASSAULT,191501774,05/30/2019,1500 MCLENDON AVE NE @CANDLER CITY PARK,608,Candler Park,N,33.76497,-84.33827,
LARCENY-FROM VEHICLE,191500230,05/30/2019,468 MORELAND AVE NE,602,Inman Park,N,33.76694,-84.34915,
LARCENY-FROM VEHICLE,191501112,05/30/2019,1225 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75605,-84.34813,
LARCENY-FROM VEHICLE,191500629,05/30/2019,1885 WELLBOURNE DR NE,613,Morningside/Lenox Park,F,33.80604,-84.35972,
LARCENY-FROM VEHICLE,191490500,05/29/2019,861 ARLINGTON PL NE,601,Virginia Highland,F,33.77812,-84.35121,
LARCENY-FROM VEHICLE,191490417,05/29/2019,1103 LANIER BLVD NE,601,Virginia Highland,F,33.7844,-84.35094,
LARCENY-FROM VEHICLE,191490160,05/29/2019,700 MCGRUDER ST NE,604,Old Fourth Ward,M,33.7586,-84.36513,
LARCENY-FROM VEHICLE,191490019,05/29/2019,736 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77386,-84.3631,
LARCENY-FROM VEHICLE,191490979,05/29/2019,879 LULLWATER PKWY NE,608,Druid Hills,N,33.77809,-84.33287,
LARCENY-FROM VEHICLE,191490012,05/29/2019,327 MEMORIAL DR SE,605,Grant Park,W,33.74656,-84.37679,
LARCENY-FROM VEHICLE,191492310,05/29/2019,600 PONCE DE LEON AVE NE,614,Midtown,E,33.77376,-84.36722,
BURGLARY,191490808,05/29/2019,327 MEMORIAL DR SE,605,Grant Park,W,33.74656,-84.37679,
LARCENY-NON VEHICLE,191492146,05/29/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,191490989,05/29/2019,439 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76101,-84.37345,
LARCENY-FROM VEHICLE,191492295,05/29/2019,2 COPENHILL AVE NE,602,Inman Park,N,33.7635,-84.35734,
LARCENY-FROM VEHICLE,191492206,05/29/2019,1125 SEABOARD AVE NE,606,Reynoldstown,N,33.75821,-84.35046,
LARCENY-FROM VEHICLE,191492247,05/29/2019,758 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36228,
LARCENY-FROM VEHICLE,191490510,05/29/2019,772 CHARLES ALLEN DR NE,614,Midtown,E,33.77577,-84.37312,
LARCENY-NON VEHICLE,191490900,05/29/2019,626 PARKWAY DR NE,603,Old Fourth Ward,M,33.77178,-84.37289,
AUTO THEFT,191491282,05/29/2019,187 DEARBORN ST SE,610,Kirkwood,O,33.74807,-84.32747,
AUTO THEFT,191491954,05/29/2019,49 BOULEVARD SE,604,Sweet Auburn,M,33.75275,-84.37186,
AUTO THEFT,191480885,05/28/2019,1661 LA FRANCE ST NE,609,Edgewood,O,33.76103,-84.33185,
LARCENY-FROM VEHICLE,191481049,05/28/2019,1394 MORELAND AVE SE,607,,,33.71462,-84.34941,
LARCENY-NON VEHICLE,191481682,05/28/2019,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,
LARCENY-NON VEHICLE,191480893,05/28/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,191480858,05/28/2019,111 BOULEVARD NE,604,Old Fourth Ward,M,33.75734,-84.3718,
LARCENY-NON VEHICLE,191481275,05/28/2019,677 GASKILL ST SE,606,Cabbagetown,N,33.74807,-84.36519,
BURGLARY,191481062,05/28/2019,720 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76626,-84.36428,
BURGLARY,191480547,05/28/2019,695 NORTH AVE NE @MASQUERADE CLUB,603,Old Fourth Ward,M,33.77073,-84.3645,
BURGLARY,191480737,05/28/2019,668 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76147,-84.36534,
LARCENY-NON VEHICLE,191481593,05/28/2019,2239 CHESHIRE BRIDGE RD NE,613,Lindridge/Martin Manor,F,33.81617,-84.35215,
BURGLARY,191480425,05/28/2019,315 BOULEVARD NE,603,Old Fourth Ward,M,33.763,-84.37145,
HOMICIDE,191482237,05/28/2019,290 MARTIN L KING JR DR SE,605,Oakland,W,33.74748,-84.37785,
AGG ASSAULT,191480465,05/28/2019,492 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74085,-84.34586,
LARCENY-FROM VEHICLE,191482499,05/28/2019,2371 HOSEA L WILLIAMS DR SE,611,East Lake,O,33.75098,-84.30932,
LARCENY-FROM VEHICLE,191480024,05/28/2019,909 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77347,-84.35767,
LARCENY-FROM VEHICLE,191480054,05/28/2019,925 GARRETT ST SE,606,Ormewood Park,W,33.74048,-84.35805,
LARCENY-FROM VEHICLE,191480080,05/28/2019,580 WOODWARD AVE SE,605,Grant Park,W,33.74557,-84.36864,
LARCENY-FROM VEHICLE,191480268,05/28/2019,290 MARTIN L KING JR DR SE,605,Oakland,W,33.74824,-84.37749,
LARCENY-FROM VEHICLE,191480557,05/28/2019,2371 HOSEA L WILLIAMS DR SE,611,East Lake,O,33.75089,-84.30937,
LARCENY-FROM VEHICLE,191471872,05/27/2019,602 N HIGHLAND AVE NE,602,Poncey-Highland,N,33.77082,-84.35274,
LARCENY-FROM VEHICLE,191471740,05/27/2019,818 FULTON TER SE,606,Reynoldstown,N,33.74902,-84.36051,
LARCENY-NON VEHICLE,191471785,05/27/2019,356 BOULEVARD NE,603,Old Fourth Ward,M,33.76421,-84.37206,
BURGLARY,191471488,05/27/2019,190 FLAT SHOALS AVE SE,606,Reynoldstown,N,33.74877,-84.3519,
LARCENY-NON VEHICLE,191471133,05/27/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,191471420,05/27/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,191471331,05/27/2019,617 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75939,-84.36694,
LARCENY-FROM VEHICLE,191471735,05/27/2019,595 PIEDMONT AVE NE,603,Old Fourth Ward,M,33.77094,-84.38178,
LARCENY-NON VEHICLE,191470517,05/27/2019,2870 ALEXA AVE SE,611,East Lake,O,33.74331,-84.29303,
AUTO THEFT,191470440,05/27/2019,43 WOODWARD AVE SE,605,Capitol Gateway,V,33.74556,-84.386,
AUTO THEFT,191462088,05/26/2019,428 TODD ST SE,604,Sweet Auburn,M,33.75175,-84.37313,
LARCENY-NON VEHICLE,191461108,05/26/2019,1659 BRIARCLIFF RD NE,608,,F,33.80241,-84.33781,
