UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,,
LARCENY-FROM VEHICLE,201490766,05/28/2020,589 SEMINOLE AVE NE,602,Poncey-Highland,N,33.7706,-84.35033,,
LARCENY-FROM VEHICLE,201490789,05/28/2020,847 LAKE AVE NE,602,Inman Park,N,33.75954,-84.35976,,
LARCENY-FROM VEHICLE,201491709,05/28/2020,118 MARONA ST NE,609,Edgewood,O,33.75689,-84.33574,,
AUTO THEFT,201492050,05/28/2020,1161 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.34935,,
BURGLARY,201490260,05/28/2020,1188 MCLENDON AVE NE,608,Candler Park,N,33.7652,-84.34872,,
LARCENY-FROM VEHICLE,201490766,05/28/2020,589 SEMINOLE AVE NE,602,Poncey-Highland,N,33.7706,-84.35033,,
LARCENY-FROM VEHICLE,201490789,05/28/2020,847 LAKE AVE NE,602,Inman Park,N,33.75954,-84.35976,,
LARCENY-FROM VEHICLE,201491709,05/28/2020,118 MARONA ST NE,609,Edgewood,O,33.75689,-84.33574,,
AUTO THEFT,201492050,05/28/2020,1161 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.34935,,
AUTO THEFT,201470647,05/28/2020,98 WYMAN ST SE,610,Kirkwood,O,33.75063,-84.33291,,
BURGLARY,201490260,05/28/2020,1188 MCLENDON AVE NE,608,Candler Park,N,33.7652,-84.34872,,
LARCENY-FROM VEHICLE,201490766,05/28/2020,589 SEMINOLE AVE NE,602,Poncey-Highland,N,33.7706,-84.35033,,
LARCENY-FROM VEHICLE,201490789,05/28/2020,847 LAKE AVE NE,602,Inman Park,N,33.75954,-84.35976,,
LARCENY-FROM VEHICLE,201491709,05/28/2020,118 MARONA ST NE,609,Edgewood,O,33.75689,-84.33574,,
AUTO THEFT,201492050,05/28/2020,1161 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.34935,,
AUTO THEFT,201470647,05/28/2020,98 WYMAN ST SE,610,Kirkwood,O,33.75063,-84.33291,,
BURGLARY,201490260,05/28/2020,1188 MCLENDON AVE NE,608,Candler Park,N,33.7652,-84.34872,,
LARCENY-FROM VEHICLE,201490766,05/28/2020,589 SEMINOLE AVE NE,602,Poncey-Highland,N,33.7706,-84.35033,,
LARCENY-FROM VEHICLE,201490789,05/28/2020,847 LAKE AVE NE,602,Inman Park,N,33.75954,-84.35976,,
LARCENY-FROM VEHICLE,201491709,05/28/2020,118 MARONA ST NE,609,Edgewood,O,33.75689,-84.33574,,
AUTO THEFT,201492050,05/28/2020,1161 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.34935,,
AUTO THEFT,201470647,05/28/2020,98 WYMAN ST SE,610,Kirkwood,O,33.75063,-84.33291,,
BURGLARY,201490260,05/28/2020,1188 MCLENDON AVE NE,608,Candler Park,N,33.7652,-84.34872,,
LARCENY-FROM VEHICLE,201490766,05/28/2020,589 SEMINOLE AVE NE,602,Poncey-Highland,N,33.7706,-84.35033,,
LARCENY-FROM VEHICLE,201490789,05/28/2020,847 LAKE AVE NE,602,Inman Park,N,33.75954,-84.35976,,
LARCENY-FROM VEHICLE,201491709,05/28/2020,118 MARONA ST NE,609,Edgewood,O,33.75689,-84.33574,,
AUTO THEFT,201492050,05/28/2020,1161 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.34935,,
AUTO THEFT,201470647,05/28/2020,98 WYMAN ST SE,610,Kirkwood,O,33.75063,-84.33291,,
AUTO THEFT,201470647,05/28/2020,98 WYMAN ST SE,610,Kirkwood,O,33.75063,-84.33291,,
BURGLARY,201490260,05/28/2020,1188 MCLENDON AVE NE,608,Candler Park,N,33.7652,-84.34872,,
LARCENY-FROM VEHICLE,201490766,05/28/2020,589 SEMINOLE AVE NE,602,Poncey-Highland,N,33.7706,-84.35033,,
LARCENY-FROM VEHICLE,201490789,05/28/2020,847 LAKE AVE NE,602,Inman Park,N,33.75954,-84.35976,,
LARCENY-FROM VEHICLE,201491709,05/28/2020,118 MARONA ST NE,609,Edgewood,O,33.75689,-84.33574,,
AUTO THEFT,201492050,05/28/2020,1161 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.34935,,
BURGLARY,201490260,05/28/2020,1188 MCLENDON AVE NE,608,Candler Park,N,33.7652,-84.34872,,
LARCENY-FROM VEHICLE,201490766,05/28/2020,589 SEMINOLE AVE NE,602,Poncey-Highland,N,33.7706,-84.35033,,
LARCENY-FROM VEHICLE,201490789,05/28/2020,847 LAKE AVE NE,602,Inman Park,N,33.75954,-84.35976,,
LARCENY-FROM VEHICLE,201491709,05/28/2020,118 MARONA ST NE,609,Edgewood,O,33.75689,-84.33574,,
AUTO THEFT,201492050,05/28/2020,1161 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.34935,,
AUTO THEFT,201470647,05/28/2020,98 WYMAN ST SE,610,Kirkwood,O,33.75063,-84.33291,,
AUTO THEFT,201480553,05/27/2020,1156 SAINT LOUIS PL NE,601,Atkins Park,F,33.77646,-84.34961,,
BURGLARY,201480576,05/27/2020,1187 WYLIE ST SE,606,Reynoldstown,N,33.75233,-84.3495,,
AUTO THEFT,201480826,05/27/2020,1406 METROPOLITAN AVE SE,612,East Atlanta,W,33.74265,-84.34148,,
LARCENY-FROM VEHICLE,201480863,05/27/2020,1430 MONROE DR NE,613,Morningside/Lenox Park,F,33.79362,-84.36749,,
LARCENY-NON VEHICLE,201481141,05/27/2020,1395 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71645,-84.34999,,
LARCENY-FROM VEHICLE,201481262,05/27/2020,469 N HIGHLAND AVE NE,602,Inman Park,N,33.76681,-84.35289,,
LARCENY-NON VEHICLE,201481291,05/27/2020,880 CHEROKEE AVE SE @ZONE 3,605,Grant Park,W,33.73063,-84.37339,,
LARCENY-NON VEHICLE,201481607,05/27/2020,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,,
LARCENY-NON VEHICLE,201481860,05/27/2020,340 BOULEVARD NE,604,Old Fourth Ward,M,33.76359,-84.37235,,
AGG ASSAULT,201480045,05/27/2020,388 BOULEVARD NE,603,Old Fourth Ward,M,33.76527,-84.37204,,
AUTO THEFT,201480553,05/27/2020,1156 SAINT LOUIS PL NE,601,Atkins Park,F,33.77646,-84.34961,,
BURGLARY,201480576,05/27/2020,1187 WYLIE ST SE,606,Reynoldstown,N,33.75233,-84.3495,,
AUTO THEFT,201480826,05/27/2020,1406 METROPOLITAN AVE SE,612,East Atlanta,W,33.74265,-84.34148,,
LARCENY-FROM VEHICLE,201480863,05/27/2020,1430 MONROE DR NE,613,Morningside/Lenox Park,F,33.79362,-84.36749,,
LARCENY-NON VEHICLE,201481141,05/27/2020,1395 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71645,-84.34999,,
LARCENY-FROM VEHICLE,201481262,05/27/2020,469 N HIGHLAND AVE NE,602,Inman Park,N,33.76681,-84.35289,,
LARCENY-NON VEHICLE,201481607,05/27/2020,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,,
LARCENY-NON VEHICLE,201481860,05/27/2020,340 BOULEVARD NE,604,Old Fourth Ward,M,33.76359,-84.37235,,
AGG ASSAULT,201480045,05/27/2020,388 BOULEVARD NE,603,Old Fourth Ward,M,33.76527,-84.37204,,
AUTO THEFT,201480553,05/27/2020,1156 SAINT LOUIS PL NE,601,Atkins Park,F,33.77646,-84.34961,,
BURGLARY,201480576,05/27/2020,1187 WYLIE ST SE,606,Reynoldstown,N,33.75233,-84.3495,,
AUTO THEFT,201480826,05/27/2020,1406 METROPOLITAN AVE SE,612,East Atlanta,W,33.74265,-84.34148,,
LARCENY-FROM VEHICLE,201480863,05/27/2020,1430 MONROE DR NE,613,Morningside/Lenox Park,F,33.79362,-84.36749,,
LARCENY-NON VEHICLE,201481141,05/27/2020,1395 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71645,-84.34999,,
LARCENY-FROM VEHICLE,201481262,05/27/2020,469 N HIGHLAND AVE NE,602,Inman Park,N,33.76681,-84.35289,,
LARCENY-NON VEHICLE,201481607,05/27/2020,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,,
LARCENY-NON VEHICLE,201481860,05/27/2020,340 BOULEVARD NE,604,Old Fourth Ward,M,33.76359,-84.37235,,
AGG ASSAULT,201480045,05/27/2020,388 BOULEVARD NE,603,Old Fourth Ward,M,33.76527,-84.37204,,
AUTO THEFT,201480553,05/27/2020,1156 SAINT LOUIS PL NE,601,Atkins Park,F,33.77646,-84.34961,,
BURGLARY,201480576,05/27/2020,1187 WYLIE ST SE,606,Reynoldstown,N,33.75233,-84.3495,,
AUTO THEFT,201480826,05/27/2020,1406 METROPOLITAN AVE SE,612,East Atlanta,W,33.74265,-84.34148,,
LARCENY-FROM VEHICLE,201480863,05/27/2020,1430 MONROE DR NE,613,Morningside/Lenox Park,F,33.79362,-84.36749,,
LARCENY-NON VEHICLE,201481141,05/27/2020,1395 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71645,-84.34999,,
LARCENY-FROM VEHICLE,201481262,05/27/2020,469 N HIGHLAND AVE NE,602,Inman Park,N,33.76681,-84.35289,,
LARCENY-NON VEHICLE,201481607,05/27/2020,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,,
LARCENY-NON VEHICLE,201481860,05/27/2020,340 BOULEVARD NE,604,Old Fourth Ward,M,33.76359,-84.37235,,
AGG ASSAULT,201480045,05/27/2020,388 BOULEVARD NE,603,Old Fourth Ward,M,33.76527,-84.37204,,
AUTO THEFT,201480553,05/27/2020,1156 SAINT LOUIS PL NE,601,Atkins Park,F,33.77646,-84.34961,,
BURGLARY,201480576,05/27/2020,1187 WYLIE ST SE,606,Reynoldstown,N,33.75233,-84.3495,,
AUTO THEFT,201480826,05/27/2020,1406 METROPOLITAN AVE SE,612,East Atlanta,W,33.74265,-84.34148,,
LARCENY-FROM VEHICLE,201480863,05/27/2020,1430 MONROE DR NE,613,Morningside/Lenox Park,F,33.79362,-84.36749,,
LARCENY-NON VEHICLE,201481141,05/27/2020,1395 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71645,-84.34999,,
LARCENY-FROM VEHICLE,201481262,05/27/2020,469 N HIGHLAND AVE NE,602,Inman Park,N,33.76681,-84.35289,,
LARCENY-NON VEHICLE,201481607,05/27/2020,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,,
LARCENY-NON VEHICLE,201481860,05/27/2020,340 BOULEVARD NE,604,Old Fourth Ward,M,33.76359,-84.37235,,
AGG ASSAULT,201480045,05/27/2020,388 BOULEVARD NE,603,Old Fourth Ward,M,33.76527,-84.37204,,
AUTO THEFT,201480553,05/27/2020,1156 SAINT LOUIS PL NE,601,Atkins Park,F,33.77646,-84.34961,,
BURGLARY,201480576,05/27/2020,1187 WYLIE ST SE,606,Reynoldstown,N,33.75233,-84.3495,,
AUTO THEFT,201480826,05/27/2020,1406 METROPOLITAN AVE SE,612,East Atlanta,W,33.74265,-84.34148,,
LARCENY-FROM VEHICLE,201480863,05/27/2020,1430 MONROE DR NE,613,Morningside/Lenox Park,F,33.79362,-84.36749,,
LARCENY-NON VEHICLE,201481141,05/27/2020,1395 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71645,-84.34999,,
LARCENY-FROM VEHICLE,201481262,05/27/2020,469 N HIGHLAND AVE NE,602,Inman Park,N,33.76681,-84.35289,,
LARCENY-NON VEHICLE,201481607,05/27/2020,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,,
LARCENY-NON VEHICLE,201481860,05/27/2020,340 BOULEVARD NE,604,Old Fourth Ward,M,33.76359,-84.37235,,
AGG ASSAULT,201480045,05/27/2020,388 BOULEVARD NE,603,Old Fourth Ward,M,33.76527,-84.37204,,
AUTO THEFT,201480553,05/27/2020,1156 SAINT LOUIS PL NE,601,Atkins Park,F,33.77646,-84.34961,,
BURGLARY,201480576,05/27/2020,1187 WYLIE ST SE,606,Reynoldstown,N,33.75233,-84.3495,,
AUTO THEFT,201480826,05/27/2020,1406 METROPOLITAN AVE SE,612,East Atlanta,W,33.74265,-84.34148,,
LARCENY-FROM VEHICLE,201480863,05/27/2020,1430 MONROE DR NE,613,Morningside/Lenox Park,F,33.79362,-84.36749,,
LARCENY-NON VEHICLE,201481141,05/27/2020,1395 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71645,-84.34999,,
LARCENY-FROM VEHICLE,201481262,05/27/2020,469 N HIGHLAND AVE NE,602,Inman Park,N,33.76681,-84.35289,,
LARCENY-NON VEHICLE,201481607,05/27/2020,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,,
LARCENY-NON VEHICLE,201481860,05/27/2020,340 BOULEVARD NE,604,Old Fourth Ward,M,33.76359,-84.37235,,
LARCENY-NON VEHICLE,201470991,05/26/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561,,
LARCENY-FROM VEHICLE,201471073,05/26/2020,869 BRIARCLIFF RD NE,608,Druid Hills,N,33.77818,-84.3461,,
LARCENY-FROM VEHICLE,201471171,05/26/2020,320 MORELAND AVE SE,609,Edgewood,O,33.74557,-84.34911,,
LARCENY-NON VEHICLE,201471254,05/26/2020,1037 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76163,-84.37561,,
LARCENY-NON VEHICLE,201471287,05/26/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,,
LARCENY-NON VEHICLE,201471296,05/26/2020,443 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76127,-84.37296,,
AUTO THEFT,201471309,05/26/2020,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,,
AUTO THEFT,201470555,05/26/2020,1785 NOBLE DR NE,613,Morningside/Lenox Park,F,33.80295,-84.34175,,
LARCENY-NON VEHICLE,201470991,05/26/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561,,
LARCENY-FROM VEHICLE,201471073,05/26/2020,869 BRIARCLIFF RD NE,608,Druid Hills,N,33.77818,-84.3461,,
LARCENY-FROM VEHICLE,201471171,05/26/2020,320 MORELAND AVE SE,609,Edgewood,O,33.74557,-84.34911,,
LARCENY-NON VEHICLE,201471254,05/26/2020,1037 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76163,-84.37561,,
LARCENY-NON VEHICLE,201471287,05/26/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,,
LARCENY-NON VEHICLE,201471296,05/26/2020,443 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76127,-84.37296,,
AUTO THEFT,201471309,05/26/2020,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,,
LARCENY-NON VEHICLE,201470991,05/26/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561,,
LARCENY-FROM VEHICLE,201471073,05/26/2020,869 BRIARCLIFF RD NE,608,Druid Hills,N,33.77818,-84.3461,,
LARCENY-FROM VEHICLE,201471171,05/26/2020,320 MORELAND AVE SE,609,Edgewood,O,33.74557,-84.34911,,
LARCENY-NON VEHICLE,201471254,05/26/2020,1037 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76163,-84.37561,,
LARCENY-NON VEHICLE,201471287,05/26/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,,
LARCENY-NON VEHICLE,201471296,05/26/2020,443 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76127,-84.37296,,
AUTO THEFT,201471309,05/26/2020,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,,
AUTO THEFT,201470555,05/26/2020,1785 NOBLE DR NE,613,Morningside/Lenox Park,F,33.80295,-84.34175,,
AUTO THEFT,201470555,05/26/2020,1785 NOBLE DR NE,613,Morningside/Lenox Park,F,33.80295,-84.34175,,
LARCENY-NON VEHICLE,201470991,05/26/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561,,
LARCENY-FROM VEHICLE,201471073,05/26/2020,869 BRIARCLIFF RD NE,608,Druid Hills,N,33.77818,-84.3461,,
LARCENY-FROM VEHICLE,201471171,05/26/2020,320 MORELAND AVE SE,609,Edgewood,O,33.74557,-84.34911,,
LARCENY-NON VEHICLE,201471254,05/26/2020,1037 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76163,-84.37561,,
LARCENY-NON VEHICLE,201471287,05/26/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,,
LARCENY-NON VEHICLE,201471296,05/26/2020,443 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76127,-84.37296,,
AUTO THEFT,201471309,05/26/2020,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,,
AUTO THEFT,201470555,05/26/2020,1785 NOBLE DR NE,613,Morningside/Lenox Park,F,33.80295,-84.34175,,
AUTO THEFT,201470555,05/26/2020,1785 NOBLE DR NE,613,Morningside/Lenox Park,F,33.80295,-84.34175,,
LARCENY-NON VEHICLE,201470991,05/26/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561,,
LARCENY-FROM VEHICLE,201471073,05/26/2020,869 BRIARCLIFF RD NE,608,Druid Hills,N,33.77818,-84.3461,,
LARCENY-FROM VEHICLE,201471171,05/26/2020,320 MORELAND AVE SE,609,Edgewood,O,33.74557,-84.34911,,
LARCENY-NON VEHICLE,201471254,05/26/2020,1037 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76163,-84.37561,,
LARCENY-NON VEHICLE,201471287,05/26/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,,
LARCENY-NON VEHICLE,201471296,05/26/2020,443 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76127,-84.37296,,
AUTO THEFT,201471309,05/26/2020,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,,
AUTO THEFT,201470555,05/26/2020,1785 NOBLE DR NE,613,Morningside/Lenox Park,F,33.80295,-84.34175,,
AUTO THEFT,201470555,05/26/2020,1785 NOBLE DR NE,613,Morningside/Lenox Park,F,33.80295,-84.34175,,
LARCENY-NON VEHICLE,201470991,05/26/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561,,
LARCENY-FROM VEHICLE,201471073,05/26/2020,869 BRIARCLIFF RD NE,608,Druid Hills,N,33.77818,-84.3461,,
LARCENY-FROM VEHICLE,201471171,05/26/2020,320 MORELAND AVE SE,609,Edgewood,O,33.74557,-84.34911,,
LARCENY-NON VEHICLE,201471254,05/26/2020,1037 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76163,-84.37561,,
LARCENY-NON VEHICLE,201471287,05/26/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,,
LARCENY-NON VEHICLE,201471296,05/26/2020,443 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76127,-84.37296,,
AUTO THEFT,201471309,05/26/2020,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,,
LARCENY-NON VEHICLE,201470991,05/26/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561,,
LARCENY-FROM VEHICLE,201471073,05/26/2020,869 BRIARCLIFF RD NE,608,Druid Hills,N,33.77818,-84.3461,,
LARCENY-FROM VEHICLE,201471171,05/26/2020,320 MORELAND AVE SE,609,Edgewood,O,33.74557,-84.34911,,
LARCENY-NON VEHICLE,201471254,05/26/2020,1037 MCGILL PARK AVE NE,604,Old Fourth Ward,M,33.76163,-84.37561,,
LARCENY-NON VEHICLE,201471287,05/26/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,,
LARCENY-NON VEHICLE,201471296,05/26/2020,443 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76127,-84.37296,,
AUTO THEFT,201471309,05/26/2020,384 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76409,-84.37484,,
AUTO THEFT,201460583,05/25/2020,447 BOULEVARD NE,603,Old Fourth Ward,M,33.76665,-84.37181,,
LARCENY-NON VEHICLE,201460618,05/25/2020,1383 IVERSON ST NE,608,Candler Park,N,33.76312,-84.34228,,
LARCENY-FROM VEHICLE,201460633,05/25/2020,460 SINCLAIR AVE NE,602,Inman Park,N,33.76694,-84.3516,,
LARCENY-FROM VEHICLE,201460677,05/25/2020,467 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74127,-84.34674,,
AUTO THEFT,201460763,05/25/2020,10 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74336,-84.31606,,
LARCENY-NON VEHICLE,201460788,05/25/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,,
BURGLARY,201460797,05/25/2020,777 ELOISE CT SE,605,Grant Park,W,33.73456,-84.36185,,
AUTO THEFT,201461923,05/25/2020,634 IRWIN ST NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
AUTO THEFT,201460154,05/25/2020,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,,
AUTO THEFT,201460583,05/25/2020,447 BOULEVARD NE,603,Old Fourth Ward,M,33.76665,-84.37181,,
LARCENY-NON VEHICLE,201460618,05/25/2020,1383 IVERSON ST NE,608,Candler Park,N,33.76312,-84.34228,,
LARCENY-FROM VEHICLE,201460633,05/25/2020,460 SINCLAIR AVE NE,602,Inman Park,N,33.76694,-84.3516,,
LARCENY-FROM VEHICLE,201460677,05/25/2020,467 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74127,-84.34674,,
AUTO THEFT,201460763,05/25/2020,10 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74336,-84.31606,,
LARCENY-NON VEHICLE,201460788,05/25/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,,
BURGLARY,201460797,05/25/2020,777 ELOISE CT SE,605,Grant Park,W,33.73456,-84.36185,,
AUTO THEFT,201461923,05/25/2020,634 IRWIN ST NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
AUTO THEFT,201460154,05/25/2020,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,,
AUTO THEFT,201460583,05/25/2020,447 BOULEVARD NE,603,Old Fourth Ward,M,33.76665,-84.37181,,
LARCENY-NON VEHICLE,201460618,05/25/2020,1383 IVERSON ST NE,608,Candler Park,N,33.76312,-84.34228,,
LARCENY-FROM VEHICLE,201460633,05/25/2020,460 SINCLAIR AVE NE,602,Inman Park,N,33.76694,-84.3516,,
LARCENY-FROM VEHICLE,201460677,05/25/2020,467 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74127,-84.34674,,
AUTO THEFT,201460763,05/25/2020,10 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74336,-84.31606,,
LARCENY-NON VEHICLE,201460788,05/25/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,,
BURGLARY,201460797,05/25/2020,777 ELOISE CT SE,605,Grant Park,W,33.73456,-84.36185,,
AUTO THEFT,201461923,05/25/2020,634 IRWIN ST NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
AUTO THEFT,201460154,05/25/2020,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,,
AUTO THEFT,201460583,05/25/2020,447 BOULEVARD NE,603,Old Fourth Ward,M,33.76665,-84.37181,,
LARCENY-NON VEHICLE,201460618,05/25/2020,1383 IVERSON ST NE,608,Candler Park,N,33.76312,-84.34228,,
LARCENY-FROM VEHICLE,201460633,05/25/2020,460 SINCLAIR AVE NE,602,Inman Park,N,33.76694,-84.3516,,
LARCENY-FROM VEHICLE,201460677,05/25/2020,467 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74127,-84.34674,,
AUTO THEFT,201460763,05/25/2020,10 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74336,-84.31606,,
LARCENY-NON VEHICLE,201460788,05/25/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,,
BURGLARY,201460797,05/25/2020,777 ELOISE CT SE,605,Grant Park,W,33.73456,-84.36185,,
AUTO THEFT,201461923,05/25/2020,634 IRWIN ST NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
AUTO THEFT,201460154,05/25/2020,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,,
AUTO THEFT,201460583,05/25/2020,447 BOULEVARD NE,603,Old Fourth Ward,M,33.76665,-84.37181,,
LARCENY-NON VEHICLE,201460618,05/25/2020,1383 IVERSON ST NE,608,Candler Park,N,33.76312,-84.34228,,
LARCENY-FROM VEHICLE,201460633,05/25/2020,460 SINCLAIR AVE NE,602,Inman Park,N,33.76694,-84.3516,,
LARCENY-FROM VEHICLE,201460677,05/25/2020,467 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74127,-84.34674,,
AUTO THEFT,201460763,05/25/2020,10 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74336,-84.31606,,
LARCENY-NON VEHICLE,201460788,05/25/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,,
BURGLARY,201460797,05/25/2020,777 ELOISE CT SE,605,Grant Park,W,33.73456,-84.36185,,
AUTO THEFT,201461923,05/25/2020,634 IRWIN ST NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
AUTO THEFT,201460154,05/25/2020,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,,
AUTO THEFT,201460583,05/25/2020,447 BOULEVARD NE,603,Old Fourth Ward,M,33.76665,-84.37181,,
LARCENY-NON VEHICLE,201460618,05/25/2020,1383 IVERSON ST NE,608,Candler Park,N,33.76312,-84.34228,,
LARCENY-FROM VEHICLE,201460633,05/25/2020,460 SINCLAIR AVE NE,602,Inman Park,N,33.76694,-84.3516,,
LARCENY-FROM VEHICLE,201460677,05/25/2020,467 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74127,-84.34674,,
AUTO THEFT,201460763,05/25/2020,10 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74336,-84.31606,,
LARCENY-NON VEHICLE,201460788,05/25/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,,
BURGLARY,201460797,05/25/2020,777 ELOISE CT SE,605,Grant Park,W,33.73456,-84.36185,,
AUTO THEFT,201461923,05/25/2020,634 IRWIN ST NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
AUTO THEFT,201460154,05/25/2020,676 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76142,-84.36492,,
AUTO THEFT,201460583,05/25/2020,447 BOULEVARD NE,603,Old Fourth Ward,M,33.76665,-84.37181,,
LARCENY-NON VEHICLE,201460618,05/25/2020,1383 IVERSON ST NE,608,Candler Park,N,33.76312,-84.34228,,
