UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY,191511609,05/31/2019,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623,
BURGLARY,191511253,05/31/2019,2031 CHICAGO AVE NW,107,Grove Park,J,33.76485,-84.45386,
LARCENY-NON VEHICLE,191512118,05/31/2019,2045 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.7774,-84.45214,
LARCENY-FROM VEHICLE,191510677,05/31/2019,3123 ELEANOR TER NW,112,Collier Heights,I,33.77746,-84.4887,
LARCENY-FROM VEHICLE,191510516,05/31/2019,2707 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.77774,-84.47583,
LARCENY-FROM VEHICLE,191511321,05/31/2019,3599 MARTIN L KING JR DR NW,111,Adamsville,H,33.75933,-84.50433,
LARCENY-NON VEHICLE,191512134,05/31/2019,2265 PERRY BLVD NW,110,Scotts Crossing,G,33.80595,-84.46416,
AUTO THEFT,191512043,05/31/2019,2305 DONALD LEE HOLLOWELL PKWY NW @CENTER HILL PARK,109,Center Hill,J,33.77704,-84.46053,
AUTO THEFT,191511957,05/31/2019,568 CHAPPELL RD NW,107,Grove Park,J,33.77075,-84.43407,
AUTO THEFT,191500403,05/30/2019,3746 CROSBY DR NW,114,Carroll Heights,H,33.7726,-84.51011,
AUTO THEFT,191500446,05/30/2019,2693 WASHINGTON ST NW,112,Collier Heights,I,33.77388,-84.47572,
AUTO THEFT,191500592,05/30/2019,952 BECKWITH ST SW,104,Ashview Heights,T,33.75229,-84.41868,
AUTO THEFT,191500237,05/30/2019,343 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.74569,-84.41786,
LARCENY-NON VEHICLE,191500647,05/30/2019,3518 BOLFAIR DR NW,114,Carroll Heights,H,33.77714,-84.50256,
LARCENY-NON VEHICLE,191501980,05/30/2019,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623,
LARCENY-FROM VEHICLE,191502432,05/30/2019,1609 JACKSON TRACE CT NW,113,Lincoln Homes,G,33.79976,-84.47582,
LARCENY-FROM VEHICLE,191501098,05/30/2019,1210 MENLO DR NW,103,Blandtown,D,33.78744,-84.42407,
LARCENY-NON VEHICLE,191501134,05/30/2019,1176 CHATTAHOOCHEE AVE NW,103,Blandtown,D,33.80058,-84.42561,
BURGLARY,191500355,05/30/2019,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,191501016,05/30/2019,1012 WESTMOOR DR NW,105,Washington Park,K,33.75932,-84.42089,
AGG ASSAULT,191500253,05/30/2019,2770 CRESCENDO DR NW,112,Collier Heights,I,33.77406,-84.47818,
AGG ASSAULT,191491630,05/29/2019,1981 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76486,-84.45174,
AGG ASSAULT,191482457,05/29/2019,93 ALLEN TEMPLE CT NW,111,,I,33.75287,-84.49102,
BURGLARY,191490857,05/29/2019,2625 MARTIN L KING JR DR NW,111,Harland Terrace,I,33.75407,-84.47354,
BURGLARY,191490589,05/29/2019,1929 NORTH AVE NW,107,Grove Park,J,33.76871,-84.4506,
BURGLARY,191492043,05/29/2019,1779 MADRONA ST NW,107,Grove Park,J,33.77074,-84.44512,
ROBBERY,191490976,05/29/2019,102 OLLIE ST NW @WASHINGTON PARK,105,Washington Park,K,33.75799,-84.42287,
ROBBERY,191490733,05/29/2019,1058 LENA ST NW,105,Washington Park,K,33.75799,-84.42287,
ROBBERY,191491503,05/29/2019,1739  MARTIN L KING JR DR NW,104,Mozley Park,K,33.75103,-84.44412,
AGG ASSAULT,191490273,05/29/2019,3195 KINGSTON RD NW,112,Collier Heights,I,33.77989,-84.49221,
LARCENY-NON VEHICLE,191490969,05/29/2019,3509 MARTIN L KING JR DR NW,111,Adamsville,H,33.7581,-84.50258,
BURGLARY,191490911,05/29/2019,1690 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75143,-84.44225,
LARCENY-FROM VEHICLE,191491668,05/29/2019,2687 ROSEMARY ST NW,103,Riverside,D,33.81338,-84.47604,
LARCENY-FROM VEHICLE,191490317,05/29/2019,2891 PARROT AVE NW,103,Whittier Mill Village,D,33.80957,-84.4819,
LARCENY-FROM VEHICLE,191492275,05/29/2019,3335 MARTIN L KING JR DR NW,111,Adamsville,H,33.7551,-84.49652,
LARCENY-FROM VEHICLE,191491438,05/29/2019,1361 DONALD LEE HOLLOWEL PKWY NW,106,Hunter Hills,K,33.76008,-84.43698,
LARCENY-NON VEHICLE,191491913,05/29/2019,2 JOSEPH E LOWERY BLVD SW,101,Atlanta University Center,T,33.75462,-84.41744,
AUTO THEFT,191490401,05/29/2019,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79009,-84.44969,
AUTO THEFT,191490559,05/29/2019,796 MAGNA CARTA DR NW,112,Collier Heights,I,33.77635,-84.48285,
LARCENY-NON VEHICLE,191480986,05/28/2019,1033 HOLLYWOOD RD NW,110,Almond Park,G,33.78373,-84.45794,
LARCENY-NON VEHICLE,191481182,05/28/2019,3501 BOLFAIR DR NW,114,Carroll Heights,H,33.77744,-84.50188,
LARCENY-NON VEHICLE,191481067,05/28/2019,1944 SANFORD DR NW,110,West Highlands,G,33.79445,-84.45115,
AUTO THEFT,191481667,05/28/2019,120 ANDERSON AVE NW @ANDERSON PARK,108,Dixie Hills,J,33.75734,-84.45478,
LARCENY-FROM VEHICLE,191480059,05/28/2019,1040 HUFF RD NW,103,Blandtown,D,33.78868,-84.42207,
LARCENY-NON VEHICLE,191482597,05/28/2019,912 MARTIN L KING JR DR SW,101,Atlanta University Center,T,33.75427,-84.41723,
LARCENY-NON VEHICLE,191481416,05/28/2019,835 MARTIN L KING JR DR NW @PUBLIX - MLK,102,Vine City,L,33.75488,-84.41378,
AGG ASSAULT,191480137,05/28/2019,813 MAGNOLIA WAY NW,102,Vine City,L,33.75823,-84.41416,
AGG ASSAULT,191480331,05/28/2019,213 FAIRBURN RD NW,111,Adamsville,H,33.76136,-84.50424,
AGG ASSAULT,191482327,05/28/2019,591 CENTER HILL AVE NW,109,Center Hill,J,33.77147,-84.46411,
AGG ASSAULT,191480994,05/28/2019,35 MILDRED PL NW,109,Grove Park,J,33.77958,-84.45617,
BURGLARY,191481391,05/28/2019,250 JAMES P BRAWLEY DR NW,102,Vine City,L,33.76149,-84.41282,
BURGLARY,191480951,05/28/2019,408 NEW JERSEY AVE NW,108,Grove Park,J,33.76638,-84.4562,
BURGLARY,191481026,05/28/2019,1649 EZRA CHURCH DR NW,105,West Lake,J,33.76126,-84.44116,
BURGLARY,191480706,05/28/2019,1967 EAST AVE NW,110,Grove Park,J,33.78648,-84.45253,
AGG ASSAULT,191471194,05/27/2019,1011 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.76373,-84.42071,
AGG ASSAULT,191471003,05/27/2019,4 MARTIN L KING JR DR,101,Atlanta University Center,T,33.75348,-84.40323,
BURGLARY,191470369,05/27/2019,15 OLLIE ST NW,105,Washington Park,K,33.75523,-84.42108,
AGG ASSAULT,191470617,05/27/2019,2980 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.78153,-84.48532,
AGG ASSAULT,191470341,05/27/2019,1739 MARTIN L KING DR,104,Mozley Park,K,33.75229,-84.44221,
ROBBERY,191471425,05/27/2019,1135 HARWELL ST NW,105,Washington Park,K,33.75598,-84.42504,
LARCENY-NON VEHICLE,191470639,05/27/2019,1677 DONALD LEE HOLLOWELL PKWY NW,110,Grove Park,J,33.77327,-84.44224,
LARCENY-NON VEHICLE,191470978,05/27/2019,835 MARTIN LUTHER KING JR DR,102,Vine City,L,33.75504,-84.41457,
