UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,201520174,05/31/2020,17 BAKER ST NE,509,Downtown,M,33.76215,-84.38675,
AGG ASSAULT,201520430,05/31/2020,101 ANDREW YOUNG INTERNA BLVD NW @AC HOTEL,508,Downtown,M,33.76008,-84.39106,
AUTO THEFT,201520565,05/31/2020,17 JESSE HILL JR DR NE,510,Downtown,M,33.75487,-84.37999,
LARCENY-FROM VEHICLE,201520925,05/31/2020,190 MARIETTA ST NW @CNN CENTER,507,Downtown,M,33.75757,-84.39487,
BURGLARY,201520948,05/31/2020,98 FORSYTH ST,508,English Avenue,L,33.7638,-84.40349,
AGG ASSAULT,201521022,05/31/2020,20  ALABAMA ST SW @FIVE POINTS MARTA ST,511,Downtown,M,33.75203,-84.38944,
AGG ASSAULT,201521316,05/31/2020,880 W PEACHTREE ST NW,505,Midtown,E,33.77885,-84.38739,
LARCENY-FROM VEHICLE,201521550,05/31/2020,908 PIEDMONT AVE NE,505,Midtown,E,33.77942,-84.38146,
LARCENY-FROM VEHICLE,201520174,05/31/2020,17 BAKER ST NE,509,Downtown,M,33.76215,-84.38675,
AGG ASSAULT,201520430,05/31/2020,101 ANDREW YOUNG INTERNA BLVD NW @AC HOTEL,508,Downtown,M,33.76008,-84.39106,
AUTO THEFT,201520439,05/31/2020,106  CENTENNIAL OLYMPIC P DR SW,507,Castleberry Hill,M,33.75233,-84.39914,
AUTO THEFT,201520565,05/31/2020,17 JESSE HILL JR DR NE,510,Downtown,M,33.75487,-84.37999,
LARCENY-FROM VEHICLE,201520928,05/31/2020,190 MARIETTA ST NW @CNN CENTER,507,Downtown,M,33.75757,-84.39487,
BURGLARY,201520948,05/31/2020,98 FORSYTH ST,508,English Avenue,L,33.7638,-84.40349,
AGG ASSAULT,201521022,05/31/2020,20  ALABAMA ST SW @FIVE POINTS MARTA ST,511,Downtown,M,33.75203,-84.38944,
AUTO THEFT,201521232,05/31/2020,930 CHARLES ALLEN DR NE,503,Midtown,E,33.78,-84.37315,
AGG ASSAULT,201521316,05/31/2020,880 W PEACHTREE ST NW,505,Midtown,E,33.77885,-84.38739,
LARCENY-FROM VEHICLE,201521550,05/31/2020,908 PIEDMONT AVE NE,505,Midtown,E,33.77942,-84.38146,
LARCENY-FROM VEHICLE,201520174,05/31/2020,17 BAKER ST NE,509,Downtown,M,33.76215,-84.38675,
AGG ASSAULT,201520430,05/31/2020,101 ANDREW YOUNG INTERNA BLVD NW @AC HOTEL,508,Downtown,M,33.76008,-84.39106,
AUTO THEFT,201520439,05/31/2020,106  CENTENNIAL OLYMPIC P DR SW,507,Castleberry Hill,M,33.75233,-84.39914,
AUTO THEFT,201520565,05/31/2020,17 JESSE HILL JR DR NE,510,Downtown,M,33.75487,-84.37999,
LARCENY-FROM VEHICLE,201520928,05/31/2020,190 MARIETTA ST NW @CNN CENTER,507,Downtown,M,33.75757,-84.39487,
BURGLARY,201520948,05/31/2020,98 FORSYTH ST,508,English Avenue,L,33.7638,-84.40349,
