UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,201520274,05/31/2020,1754 RICHMOND CIR SE,307,Lakewood Heights,Y,33.70698,-84.3745,
AGG ASSAULT,201520296,05/31/2020,991 STONEWALL DR SE,308,Leila Valley,Z,33.68995,-84.3568,
AGG ASSAULT,201520487,05/31/2020,2228 JONESBORO RD SE,308,Norwood Manor,Z,33.69379,-84.3672,
LARCENY-NON VEHICLE,201520838,05/31/2020,1683 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.7083,-84.38035,
AGG ASSAULT,201521191,05/31/2020,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059,
AGG ASSAULT,201521370,05/31/2020,1229 ALLENE AVE SW,301,Capitol View,X,33.72132,-84.41313,
AUTO THEFT,201521433,05/31/2020,950 GARIBALDI ST SW,302,Pittsburgh,V,33.72889,-84.3991,
LARCENY-FROM VEHICLE,201520274,05/31/2020,1754 RICHMOND CIR SE,307,Lakewood Heights,Y,33.70698,-84.3745,
AGG ASSAULT,201520296,05/31/2020,991 STONEWALL DR SE,308,Leila Valley,Z,33.68995,-84.3568,
AGG ASSAULT,201520487,05/31/2020,2228 JONESBORO RD SE,308,Norwood Manor,Z,33.69379,-84.3672,
LARCENY-NON VEHICLE,201520838,05/31/2020,1683 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.7083,-84.38035,
AGG ASSAULT,201521191,05/31/2020,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059,
AGG ASSAULT,201521370,05/31/2020,1229 ALLENE AVE SW,301,Capitol View,X,33.72132,-84.41313,
AUTO THEFT,201521433,05/31/2020,950 GARIBALDI ST SW,302,Pittsburgh,V,33.72889,-84.3991,
LARCENY-FROM VEHICLE,201520274,05/31/2020,1754 RICHMOND CIR SE,307,Lakewood Heights,Y,33.70698,-84.3745,
AGG ASSAULT,201520296,05/31/2020,991 STONEWALL DR SE,308,Leila Valley,Z,33.68995,-84.3568,
AGG ASSAULT,201520487,05/31/2020,2228 JONESBORO RD SE,308,Norwood Manor,Z,33.69379,-84.3672,
LARCENY-NON VEHICLE,201520838,05/31/2020,1683 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.7083,-84.38035,
