UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
BURGLARY,191511005,05/31/2019,40 PEACHTREE VALLEY RD NE,207,,E,33.81097,-84.39154,
BURGLARY,191511325,05/31/2019,2115 MONROE DR NE,212,Piedmont Heights,F,33.81007,-84.3713,
LARCENY-NON VEHICLE,191511410,05/31/2019,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,
LARCENY-NON VEHICLE,191511116,05/31/2019,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,191510007,05/31/2019,3340 PEACHTREE RD NE,208,North Buckhead,B,33.84743,-84.37089,
LARCENY-FROM VEHICLE,191512473,05/31/2019,540 PHARR RD NE,206,Buckhead Village,B,33.83707,-84.37018,
LARCENY-FROM VEHICLE,191512464,05/31/2019,707 MIAMI CIR NE,211,Lindbergh/Morosgo,B,33.8291,-84.36395,
LARCENY-NON VEHICLE,191511158,05/31/2019,3445 PACES FOREST RD NW,202,West Paces Ferry/Northside,A,33.84904,-84.42461,
LARCENY-NON VEHICLE,191511318,05/31/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,191512133,05/31/2019,3344 PEACHTREE RD NE,208,North Buckhead,B,33.84652,-84.36834,
LARCENY-NON VEHICLE,191510698,05/31/2019,1481 PINE ST NW,207,Loring Heights,E,33.79534,-84.40088,
AUTO THEFT,191511953,05/31/2019,100 BAGLEY ST NE @FRANKIE ALLEN PARK,206,Garden Hills,B,33.83689,-84.37394,
AUTO THEFT,191502393,05/30/2019,3639 PEACHTREE RD NE,210,Ridgedale Park,B,33.85373,-84.35777,
LARCENY-NON VEHICLE,191502220,05/30/2019,631 BROADVIEW PL NE,211,Lindbergh/Morosgo,B,33.82105,-84.36345,
LARCENY-NON VEHICLE,191500842,05/30/2019,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
LARCENY-NON VEHICLE,191501623,05/30/2019,3755 PEACHTREE RD NE,210,Ridgedale Park,B,33.85566,-84.34884,
LARCENY-NON VEHICLE,191500743,05/30/2019,4001 POWERS FERRY RD NW,202,Chastain Park,A,33.86639,-84.3893,
LARCENY-NON VEHICLE,191500838,05/30/2019,1390 NORTHSIDE DR NW,207,Berkeley Park,D,33.79264,-84.40796,
LARCENY-NON VEHICLE,191501500,05/30/2019,2920 PHARR COURT SOUTH NW,206,Peachtree Heights West,B,33.83536,-84.38608,
LARCENY-NON VEHICLE,191502024,05/30/2019,2284 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81757,-84.35207,
LARCENY-FROM VEHICLE,191501505,05/30/2019,1943 PEACHTREE RD,207,Brookwood Hills,E,33.80836,-84.39356,
LARCENY-FROM VEHICLE,191501413,05/30/2019,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-NON VEHICLE,191500926,05/30/2019,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199,
LARCENY-NON VEHICLE,191501744,05/30/2019,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-NON VEHICLE,191501248,05/30/2019,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212,
BURGLARY,191491543,05/29/2019,500 NORTHSIDE CIR NW,207,Loring Heights,E,33.79724,-84.40668,
BURGLARY,191491568,05/29/2019,361 PHARR RD NE,206,Garden Hills,B,33.8366,-84.37554,
BURGLARY,191491629,05/29/2019,361 PHARR RD NE,206,Garden Hills,B,33.8366,-84.37554,
LARCENY-FROM VEHICLE,191491506,05/29/2019,3390 STRATFORD RD NE,208,North Buckhead,B,33.84983,-84.36779,
LARCENY-FROM VEHICLE,191492248,05/29/2019,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82266,-84.3643,
LARCENY-FROM VEHICLE,191492158,05/29/2019,128 E ANDREWS DR NW,206,South Tuxedo Park,B,33.84251,-84.38311,
LARCENY-NON VEHICLE,191491840,05/29/2019,500 NORTHSIDE CIR NW,207,Loring Heights,E,33.79724,-84.40668,
LARCENY-NON VEHICLE,191491813,05/29/2019,1688 PEACHTREE ST NW @Multiple,207,Brookwood,E,33.79939,-84.3926,
LARCENY-NON VEHICLE,191491127,05/29/2019,1800 HOWELL MILL RD NW,204,Underwood Hills,D,33.80454,-84.41368,
LARCENY-NON VEHICLE,191491360,05/29/2019,2001 PEACHTREE RD NE,207,,E,33.80928,-84.39307,
LARCENY-NON VEHICLE,191490341,05/29/2019,3260 NORTHSIDE DR NW,205,,C,33.84378,-84.40772,
LARCENY-NON VEHICLE,191491922,05/29/2019,182 SPRINGDALE DR NE,211,Peachtree Hills,B,33.82201,-84.38162,
LARCENY-NON VEHICLE,191491684,05/29/2019,674 BELLEMEADE AVE NW,207,Berkeley Park,D,33.80022,-84.41025,
LARCENY-NON VEHICLE,191492304,05/29/2019,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
LARCENY-NON VEHICLE,191491265,05/29/2019,4279 ROSWELL RD NE @PUBLIX - ROSWELL,209,North Buckhead,B,33.87115,-84.3793,
AUTO THEFT,191490952,05/29/2019,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82494,-84.36684,
AUTO THEFT,191491335,05/29/2019,2450 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82302,-84.3714,
AUTO THEFT,191491456,05/29/2019,594 WIMBLEDON RD NE,212,Piedmont Heights,F,33.80656,-84.36741,
AUTO THEFT,191480911,05/28/2019,262 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786,
AUTO THEFT,191480566,05/28/2019,4208 ALEXANDER CIR NE,209,North Buckhead,B,33.85499,-84.36518,
AUTO THEFT,191480556,05/28/2019,1391 COLLIER RD NW,204,Underwood Hills,D,33.80989,-84.43402,
LARCENY-FROM VEHICLE,191482459,05/28/2019,1812 PEACHTREE ST NW,207,Ardmore,E,33.80426,-84.39375,
LARCENY-FROM VEHICLE,191480449,05/28/2019,3407 ALEXANDER CIR NE,209,North Buckhead,B,33.85542,-84.36664,
LARCENY-FROM VEHICLE,191480825,05/28/2019,2027 BROOKWOOD VALLEY CIR NE,207,,E,33.80976,-84.38927,
BURGLARY,191482451,05/28/2019,600 GARSON DR NE,211,Lindbergh/Morosgo,B,33.81861,-84.37021,
LARCENY-NON VEHICLE,191481340,05/28/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,191482471,05/28/2019,573 MAIN ST NE,211,Lindbergh/Morosgo,B,33.82226,-84.36831,
LARCENY-NON VEHICLE,191471213,05/27/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
BURGLARY,191471209,05/27/2019,2115 MONROE DR NE,212,Piedmont Heights,F,33.81033,-84.37299,
BURGLARY,191471178,05/27/2019,2115 MONROE DR NE,212,Piedmont Heights,F,33.81021,-84.37274,
AGG ASSAULT,191450556,05/27/2019,491 LINDBERGH PL NE,211,Lindbergh/Morosgo,B,33.81949,-84.37115,
LARCENY-FROM VEHICLE,191471115,05/27/2019,712 W PACES FERRY RD NW,202,West Paces Ferry/Northside,A,33.84789,-84.41107,
LARCENY-FROM VEHICLE,191470781,05/27/2019,2531 LENOX RD NE,212,Lindridge/Martin Manor,F,33.82377,-84.3519,
LARCENY-FROM VEHICLE,191471715,05/27/2019,1776 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.80875,-84.36471,
AUTO THEFT,191470988,05/27/2019,498 LINDBERGH PL NE,211,Lindbergh/Morosgo,B,33.81926,-84.37148,
LARCENY-NON VEHICLE,191471828,05/27/2019,551 TRABERT AVE NW,207,Loring Heights,E,33.79454,-84.40584,
LARCENY-NON VEHICLE,191460451,05/26/2019,2124 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81307,-84.35424,
LARCENY-NON VEHICLE,191461131,05/26/2019,3391 PEACHTREE RD NE,210,Lenox,B,33.84886,-84.36517,
LARCENY-NON VEHICLE,191461044,05/26/2019,2453 CORONET WAY NW,201,,C,33.8209,-84.44958,
LARCENY-FROM VEHICLE,191461190,05/26/2019,400 PHARR RD NE,206,Buckhead Village,B,33.83751,-84.37416,
LARCENY-FROM VEHICLE,191460960,05/26/2019,2323 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.81869,-84.36622,
BURGLARY,191460997,05/26/2019,2436 BOLTON RD NW,201,,C,33.82126,-84.45414,
HOMICIDE,191450342,05/25/2019,1937 PIEDMONT CIR,212,Piedmont Heights,F,33.81039,-84.36748,
ROBBERY,191450280,05/25/2019,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786,
LARCENY-NON VEHICLE,191451556,05/25/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,191451618,05/25/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,191451456,05/25/2019,3500 PEACHTREE RD NE @PHIPPS PLAZA,208,North Buckhead,B,33.85252,-84.36116,
LARCENY-FROM VEHICLE,191451676,05/25/2019,2125 NORTHSIDE DR NW @GRANT TENNIS CENTER,205,,C,33.81405,-84.40587,
