zone 1,zone 2,zone 3,zone 4,zone 5,zone 6
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,ROBBERY
AUTO THEFT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT
BURGLARY,BURGLARY,BURGLARY,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY
BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,AUTO THEFT,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,ROBBERY
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,ROBBERY
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,BURGLARY,BURGLARY,AUTO THEFT,AGG ASSAULT
AGG ASSAULT,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,AGG ASSAULT,AUTO THEFT
AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,AGG ASSAULT,ROBBERY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,ROBBERY
AUTO THEFT,BURGLARY,BURGLARY,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,AGG ASSAULT
BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY,HOMICIDE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY,BURGLARY,BURGLARY
BURGLARY,BURGLARY,BURGLARY,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,ROBBERY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,BURGLARY,BURGLARY,AUTO THEFT
BURGLARY,BURGLARY,BURGLARY,AUTO THEFT,BURGLARY,ROBBERY
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,BURGLARY
BURGLARY,BURGLARY,BURGLARY,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY
AUTO THEFT,BURGLARY,BURGLARY,AUTO THEFT,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,AUTO THEFT,BURGLARY
AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY
ROBBERY,BURGLARY,BURGLARY,ROBBERY,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
