zone 1,zone 2,zone 3,zone 4,zone 5,zone 6
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,BURGLARY,AGG ASSAULT,AUTO THEFT
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,ROBBERY,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,HOMICIDE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
BURGLARY,BURGLARY,ROBBERY,LARCENY-NON VEHICLE,ROBBERY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,ROBBERY,BURGLARY,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,BURGLARY
BURGLARY,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,ROBBERY,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AUTO THEFT
LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,ROBBERY,BURGLARY,AUTO THEFT
BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,HOMICIDE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,ROBBERY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
BURGLARY,ROBBERY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
HOMICIDE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
HOMICIDE,BURGLARY,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
HOMICIDE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
HOMICIDE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT
AUTO THEFT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
HOMICIDE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
HOMICIDE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
HOMICIDE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
BURGLARY,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT
AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
ROBBERY,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
ROBBERY,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
AUTO THEFT,ROBBERY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
ROBBERY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,AGG ASSAULT,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE
ROBBERY,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
ROBBERY,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE
ROBBERY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT,AUTO THEFT
ROBBERY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,AGG ASSAULT,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT
BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT
AGG ASSAULT,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY
AGG ASSAULT,ROBBERY,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT
AUTO THEFT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT
BURGLARY,BURGLARY,AGG ASSAULT,AGG ASSAULT,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
AUTO THEFT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
BURGLARY,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
AUTO THEFT,BURGLARY,AGG ASSAULT,AGG ASSAULT,AUTO THEFT,AUTO THEFT
AUTO THEFT,BURGLARY,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
