UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
AGG ASSAULT,201521435,05/31/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254,
AGG ASSAULT,201512100,05/31/2020,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
BURGLARY,201520214,05/31/2020,3733 CLOVIS CT NW,114,Carroll Heights,H,33.7753,-84.51007,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
AGG ASSAULT,201521435,05/31/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254,
AGG ASSAULT,201512100,05/31/2020,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
BURGLARY,201520214,05/31/2020,3733 CLOVIS CT NW,114,Carroll Heights,H,33.7753,-84.51007,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
AGG ASSAULT,201521435,05/31/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254,
AGG ASSAULT,201512100,05/31/2020,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
AGG ASSAULT,201512100,05/31/2020,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
BURGLARY,201520214,05/31/2020,3733 CLOVIS CT NW,114,Carroll Heights,H,33.7753,-84.51007,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
AGG ASSAULT,201521435,05/31/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254,
BURGLARY,201520214,05/31/2020,3733 CLOVIS CT NW,114,Carroll Heights,H,33.7753,-84.51007,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
AGG ASSAULT,201521435,05/31/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254,
AGG ASSAULT,201512100,05/31/2020,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
BURGLARY,201520214,05/31/2020,3733 CLOVIS CT NW,114,Carroll Heights,H,33.7753,-84.51007,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
AGG ASSAULT,201521435,05/31/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254,
AGG ASSAULT,201512100,05/31/2020,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
BURGLARY,201520214,05/31/2020,3733 CLOVIS CT NW,114,Carroll Heights,H,33.7753,-84.51007,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
AGG ASSAULT,201521435,05/31/2020,2619 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77579,-84.47254,
AGG ASSAULT,201512100,05/31/2020,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
BURGLARY,201512424,05/30/2020,907 MARTIN L KING JR DR NW,102,Vine City,L,33.7548,-84.41692,
LARCENY-NON VEHICLE,201510369,05/30/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,201511063,05/30/2020,2114 OLD GEORGIAN TER NW,103,Whittier Mill Village,D,33.81349,-84.48156,
BURGLARY,201511229,05/30/2020,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,201511547,05/30/2020,784 LIBERTY COMMONS DR NW,105,Vine City,L,33.75605,-84.41446,
LARCENY-FROM VEHICLE,201511943,05/30/2020,2115 GENERAL TRUMAN ST NW,103,Bolton,D,33.81333,-84.4461,
AUTO THEFT,201512064,05/30/2020,1016 LENA ST NW,105,Washington Park,K,33.75665,-84.4213,
LARCENY-FROM VEHICLE,201512097,05/30/2020,1820 MARIETTA BLVD NW,103,Hills Park,D,33.80431,-84.43779,
BURGLARY,201512424,05/30/2020,907 MARTIN L KING JR DR NW,102,Vine City,L,33.7548,-84.41692,
LARCENY-NON VEHICLE,201510369,05/30/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,201511063,05/30/2020,2114 OLD GEORGIAN TER NW,103,Whittier Mill Village,D,33.81349,-84.48156,
BURGLARY,201511229,05/30/2020,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,201511547,05/30/2020,784 LIBERTY COMMONS DR NW,105,Vine City,L,33.75605,-84.41446,
LARCENY-FROM VEHICLE,201511943,05/30/2020,2115 GENERAL TRUMAN ST NW,103,Bolton,D,33.81333,-84.4461,
AUTO THEFT,201512064,05/30/2020,1016 LENA ST NW,105,Washington Park,K,33.75665,-84.4213,
LARCENY-FROM VEHICLE,201512097,05/30/2020,1820 MARIETTA BLVD NW,103,Hills Park,D,33.80431,-84.43779,
BURGLARY,201512424,05/30/2020,907 MARTIN L KING JR DR NW,102,Vine City,L,33.7548,-84.41692,
LARCENY-NON VEHICLE,201510369,05/30/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,201511063,05/30/2020,2114 OLD GEORGIAN TER NW,103,Whittier Mill Village,D,33.81349,-84.48156,
BURGLARY,201511229,05/30/2020,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,201511547,05/30/2020,784 LIBERTY COMMONS DR NW,105,Vine City,L,33.75605,-84.41446,
LARCENY-FROM VEHICLE,201511943,05/30/2020,2115 GENERAL TRUMAN ST NW,103,Bolton,D,33.81333,-84.4461,
AUTO THEFT,201512064,05/30/2020,1016 LENA ST NW,105,Washington Park,K,33.75665,-84.4213,
LARCENY-FROM VEHICLE,201512097,05/30/2020,1820 MARIETTA BLVD NW,103,Hills Park,D,33.80431,-84.43779,
BURGLARY,201512424,05/30/2020,907 MARTIN L KING JR DR NW,102,Vine City,L,33.7548,-84.41692,
LARCENY-NON VEHICLE,201510369,05/30/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,201511063,05/30/2020,2114 OLD GEORGIAN TER NW,103,Whittier Mill Village,D,33.81349,-84.48156,
BURGLARY,201511229,05/30/2020,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,201511547,05/30/2020,784 LIBERTY COMMONS DR NW,105,Vine City,L,33.75605,-84.41446,
LARCENY-FROM VEHICLE,201511943,05/30/2020,2115 GENERAL TRUMAN ST NW,103,Bolton,D,33.81333,-84.4461,
AUTO THEFT,201512064,05/30/2020,1016 LENA ST NW,105,Washington Park,K,33.75665,-84.4213,
LARCENY-FROM VEHICLE,201512097,05/30/2020,1820 MARIETTA BLVD NW,103,Hills Park,D,33.80431,-84.43779,
BURGLARY,201512424,05/30/2020,907 MARTIN L KING JR DR NW,102,Vine City,L,33.7548,-84.41692,
LARCENY-NON VEHICLE,201510369,05/30/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,201511063,05/30/2020,2114 OLD GEORGIAN TER NW,103,Whittier Mill Village,D,33.81349,-84.48156,
BURGLARY,201511229,05/30/2020,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,201511547,05/30/2020,784 LIBERTY COMMONS DR NW,105,Vine City,L,33.75605,-84.41446,
LARCENY-FROM VEHICLE,201511943,05/30/2020,2115 GENERAL TRUMAN ST NW,103,Bolton,D,33.81333,-84.4461,
AUTO THEFT,201512064,05/30/2020,1016 LENA ST NW,105,Washington Park,K,33.75665,-84.4213,
LARCENY-FROM VEHICLE,201512097,05/30/2020,1820 MARIETTA BLVD NW,103,Hills Park,D,33.80431,-84.43779,
BURGLARY,201512424,05/30/2020,907 MARTIN L KING JR DR NW,102,Vine City,L,33.7548,-84.41692,
LARCENY-NON VEHICLE,201510369,05/30/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,201511063,05/30/2020,2114 OLD GEORGIAN TER NW,103,Whittier Mill Village,D,33.81349,-84.48156,
BURGLARY,201511229,05/30/2020,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,201511547,05/30/2020,784 LIBERTY COMMONS DR NW,105,Vine City,L,33.75605,-84.41446,
LARCENY-FROM VEHICLE,201511943,05/30/2020,2115 GENERAL TRUMAN ST NW,103,Bolton,D,33.81333,-84.4461,
AUTO THEFT,201512064,05/30/2020,1016 LENA ST NW,105,Washington Park,K,33.75665,-84.4213,
LARCENY-FROM VEHICLE,201512097,05/30/2020,1820 MARIETTA BLVD NW,103,Hills Park,D,33.80431,-84.43779,
BURGLARY,201512424,05/30/2020,907 MARTIN L KING JR DR NW,102,Vine City,L,33.7548,-84.41692,
LARCENY-NON VEHICLE,201510369,05/30/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,
LARCENY-FROM VEHICLE,201511063,05/30/2020,2114 OLD GEORGIAN TER NW,103,Whittier Mill Village,D,33.81349,-84.48156,
BURGLARY,201511229,05/30/2020,2100 SPINK ST NW,103,Riverside,D,33.80816,-84.46473,
AGG ASSAULT,201511547,05/30/2020,784 LIBERTY COMMONS DR NW,105,Vine City,L,33.75605,-84.41446,
LARCENY-FROM VEHICLE,201511943,05/30/2020,2115 GENERAL TRUMAN ST NW,103,Bolton,D,33.81333,-84.4461,
AUTO THEFT,201512064,05/30/2020,1016 LENA ST NW,105,Washington Park,K,33.75665,-84.4213,
LARCENY-FROM VEHICLE,201512097,05/30/2020,1820 MARIETTA BLVD NW,103,Hills Park,D,33.80431,-84.43779,
AGG ASSAULT,201500057,05/29/2020,862 HOLLYWOOD RD NW,109,Grove Park,J,33.77676,-84.45342,
LARCENY-FROM VEHICLE,201500147,05/29/2020,2036 CLAUDE ST NW,103,Riverside,D,33.81092,-84.46624,
AGG ASSAULT,201500238,05/29/2020,I-20 EB EXPY NW / HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75686,-84.46887,
ROBBERY,201500357,05/29/2020,3888 COLLIER DR NW,114,Old Gordon,H,33.77001,-84.51313,
LARCENY-NON VEHICLE,201500523,05/29/2020,170 BURBANK DR NW,105,Hunter Hills,K,33.75976,-84.42954,
LARCENY-NON VEHICLE,201500759,05/29/2020,1598 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77167,-84.4406,
AGG ASSAULT,201500985,05/29/2020,3349 DELMAR LN NW,111,Adamsville,H,33.75688,-84.49751,
BURGLARY,201501403,05/29/2020,631 S EUGENIA PL NW,107,Grove Park,J,33.77239,-84.45382,
AGG ASSAULT,201500057,05/29/2020,862 HOLLYWOOD RD NW,109,Grove Park,J,33.77676,-84.45342,
LARCENY-FROM VEHICLE,201500147,05/29/2020,2036 CLAUDE ST NW,103,Riverside,D,33.81092,-84.46624,
AGG ASSAULT,201500238,05/29/2020,I-20 EB EXPY NW / HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75686,-84.46887,
ROBBERY,201500357,05/29/2020,3888 COLLIER DR NW,114,Old Gordon,H,33.77001,-84.51313,
LARCENY-NON VEHICLE,201500523,05/29/2020,170 BURBANK DR NW,105,Hunter Hills,K,33.75976,-84.42954,
LARCENY-NON VEHICLE,201500759,05/29/2020,1598 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77167,-84.4406,
AGG ASSAULT,201500985,05/29/2020,3349 DELMAR LN NW,111,Adamsville,H,33.75688,-84.49751,
BURGLARY,201501403,05/29/2020,631 S EUGENIA PL NW,107,Grove Park,J,33.77239,-84.45382,
AGG ASSAULT,201500057,05/29/2020,862 HOLLYWOOD RD NW,109,Grove Park,J,33.77676,-84.45342,
LARCENY-FROM VEHICLE,201500147,05/29/2020,2036 CLAUDE ST NW,103,Riverside,D,33.81092,-84.46624,
AGG ASSAULT,201500238,05/29/2020,I-20 EB EXPY NW / HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75686,-84.46887,
ROBBERY,201500357,05/29/2020,3888 COLLIER DR NW,114,Old Gordon,H,33.77001,-84.51313,
LARCENY-NON VEHICLE,201500523,05/29/2020,170 BURBANK DR NW,105,Hunter Hills,K,33.75976,-84.42954,
LARCENY-NON VEHICLE,201500759,05/29/2020,1598 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77167,-84.4406,
AGG ASSAULT,201500985,05/29/2020,3349 DELMAR LN NW,111,Adamsville,H,33.75688,-84.49751,
BURGLARY,201501403,05/29/2020,631 S EUGENIA PL NW,107,Grove Park,J,33.77239,-84.45382,
AGG ASSAULT,201500057,05/29/2020,862 HOLLYWOOD RD NW,109,Grove Park,J,33.77676,-84.45342,
LARCENY-FROM VEHICLE,201500147,05/29/2020,2036 CLAUDE ST NW,103,Riverside,D,33.81092,-84.46624,
AGG ASSAULT,201500238,05/29/2020,I-20 EB EXPY NW / HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75686,-84.46887,
ROBBERY,201500357,05/29/2020,3888 COLLIER DR NW,114,Old Gordon,H,33.77001,-84.51313,
LARCENY-NON VEHICLE,201500523,05/29/2020,170 BURBANK DR NW,105,Hunter Hills,K,33.75976,-84.42954,
LARCENY-NON VEHICLE,201500759,05/29/2020,1598 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77167,-84.4406,
AGG ASSAULT,201500985,05/29/2020,3349 DELMAR LN NW,111,Adamsville,H,33.75688,-84.49751,
BURGLARY,201501403,05/29/2020,631 S EUGENIA PL NW,107,Grove Park,J,33.77239,-84.45382,
AGG ASSAULT,201500057,05/29/2020,862 HOLLYWOOD RD NW,109,Grove Park,J,33.77676,-84.45342,
LARCENY-FROM VEHICLE,201500147,05/29/2020,2036 CLAUDE ST NW,103,Riverside,D,33.81092,-84.46624,
AGG ASSAULT,201500238,05/29/2020,I-20 EB EXPY NW / HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75686,-84.46887,
ROBBERY,201500357,05/29/2020,3888 COLLIER DR NW,114,Old Gordon,H,33.77001,-84.51313,
LARCENY-NON VEHICLE,201500523,05/29/2020,170 BURBANK DR NW,105,Hunter Hills,K,33.75976,-84.42954,
LARCENY-NON VEHICLE,201500759,05/29/2020,1598 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77167,-84.4406,
AGG ASSAULT,201500985,05/29/2020,3349 DELMAR LN NW,111,Adamsville,H,33.75688,-84.49751,
BURGLARY,201501403,05/29/2020,631 S EUGENIA PL NW,107,Grove Park,J,33.77239,-84.45382,
AGG ASSAULT,201500057,05/29/2020,862 HOLLYWOOD RD NW,109,Grove Park,J,33.77676,-84.45342,
LARCENY-FROM VEHICLE,201500147,05/29/2020,2036 CLAUDE ST NW,103,Riverside,D,33.81092,-84.46624,
AGG ASSAULT,201500238,05/29/2020,I-20 EB EXPY NW / HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75686,-84.46887,
ROBBERY,201500357,05/29/2020,3888 COLLIER DR NW,114,Old Gordon,H,33.77001,-84.51313,
LARCENY-NON VEHICLE,201500523,05/29/2020,170 BURBANK DR NW,105,Hunter Hills,K,33.75976,-84.42954,
LARCENY-NON VEHICLE,201500759,05/29/2020,1598 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77167,-84.4406,
AGG ASSAULT,201500985,05/29/2020,3349 DELMAR LN NW,111,Adamsville,H,33.75688,-84.49751,
BURGLARY,201501403,05/29/2020,631 S EUGENIA PL NW,107,Grove Park,J,33.77239,-84.45382,
AGG ASSAULT,201500057,05/29/2020,862 HOLLYWOOD RD NW,109,Grove Park,J,33.77676,-84.45342,
LARCENY-FROM VEHICLE,201500147,05/29/2020,2036 CLAUDE ST NW,103,Riverside,D,33.81092,-84.46624,
AGG ASSAULT,201500238,05/29/2020,I-20 EB EXPY NW / HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75686,-84.46887,
ROBBERY,201500357,05/29/2020,3888 COLLIER DR NW,114,Old Gordon,H,33.77001,-84.51313,
LARCENY-NON VEHICLE,201500523,05/29/2020,170 BURBANK DR NW,105,Hunter Hills,K,33.75976,-84.42954,
LARCENY-NON VEHICLE,201500759,05/29/2020,1598 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77167,-84.4406,
AGG ASSAULT,201500985,05/29/2020,3349 DELMAR LN NW,111,Adamsville,H,33.75688,-84.49751,
BURGLARY,201501403,05/29/2020,631 S EUGENIA PL NW,107,Grove Park,J,33.77239,-84.45382,
LARCENY-FROM VEHICLE,201490369,05/28/2020,179 MAPLE ST NW,102,Vine City,L,33.7595,-84.40504,
BURGLARY,201490497,05/28/2020,969 WESTMOOR DR NW,105,Washington Park,K,33.75972,-84.41931,
AGG ASSAULT,201490559,05/28/2020,1401 KENNESAW DR NW,107,Grove Park,J,33.767,-84.43378,
AUTO THEFT,201490854,05/28/2020,2739 SEABORN RD NW,112,Collier Heights,I,33.77538,-84.47722,
LARCENY-FROM VEHICLE,201491733,05/28/2020,1738 MACARTHUR BLVD NW,103,Bolton,D,33.81326,-84.4448,
LARCENY-NON VEHICLE,201491768,05/28/2020,1646 W LAKE CT NW,105,West Lake,J,33.75901,-84.44253,
AUTO THEFT,201492045,05/28/2020,1783 JOHNSON RD NW,110,Rockdale,G,33.78547,-84.44593,
LARCENY-FROM VEHICLE,201490369,05/28/2020,179 MAPLE ST NW,102,Vine City,L,33.7595,-84.40504,
