County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
"Champaign County, IL",7/19/2020,"106,052","101,580","4,472",4.2
"Christian County, IL",7/19/2020,"14,874","14,148",726,4.9
"Clark County, IL",7/19/2020,"7,743","7,407",336,4.3
"Clay County, IL",7/19/2020,"6,573","6,265",308,4.7
"Clinton County, IL",7/19/2020,"20,819","20,181",638,3.1
"Coles County, IL",7/19/2020,"22,873","21,811","1,062",4.6
"Cook County, IL",7/19/2020,"2,634,510","2,523,036","111,474",4.2
"Crawford County, IL",7/19/2020,"8,726","8,366",360,4.1
"Cumberland County, IL",7/19/2020,"6,066","5,863",203,3.3
"DeKalb County, IL",7/19/2020,"56,561","53,964","2,597",4.6
"De Witt County, IL",7/19/2020,"7,451","7,128",323,4.3
"Douglas County, IL",7/19/2020,"10,311","9,903",408,4
"DuPage County, IL",7/19/2020,"515,291","498,352","16,939",3.3
"Edgar County, IL",7/19/2020,"9,143","8,746",397,4.3
"Edwards County, IL",7/19/2020,"2,794","2,688",106,3.8
"Effingham County, IL",7/19/2020,"19,649","19,015",634,3.2
"Fayette County, IL",7/19/2020,"10,106","9,688",418,4.1
"Ford County, IL",7/19/2020,"6,390","6,109",281,4.4
"Franklin County, IL",7/19/2020,"16,477","15,584",893,5.4
"Fulton County, IL",7/19/2020,"15,473","14,578",895,5.8
"Gallatin County, IL",7/19/2020,"2,377","2,257",120,5
"Greene County, IL",7/19/2020,"6,080","5,807",273,4.5
"Grundy County, IL",7/19/2020,"25,851","24,618","1,233",4.8
"Hamilton County, IL",7/19/2020,"4,375","4,201",174,4
"Hancock County, IL",7/19/2020,"8,661","8,211",450,5.2
"Hardin County, IL",7/19/2020,"1,306","1,208",98,7.5
"Henderson County, IL",7/19/2020,"3,729","3,565",164,4.4
"Henry County, IL",7/19/2020,"25,785","24,667","1,118",4.3
"Iroquois County, IL",7/19/2020,"14,799","14,243",556,3.8
"Jackson County, IL",7/19/2020,"27,940","26,791","1,149",4.1
"Jasper County, IL",7/19/2020,"4,683","4,472",211,4.5
"Jefferson County, IL",7/19/2020,"17,717","16,831",886,5
"Jersey County, IL",7/19/2020,"11,157","10,659",498,4.5
"Jo Daviess County, IL",7/19/2020,"11,224","10,847",377,3.4
"Johnson County, IL",7/19/2020,"4,035","3,799",236,5.8
"Kane County, IL",7/19/2020,"277,864","266,080","11,784",4.2
"Kankakee County, IL",7/19/2020,"56,811","54,164","2,647",4.7
"Kendall County, IL",7/19/2020,"69,867","67,271","2,596",3.7
"Knox County, IL",7/19/2020,"22,155","21,082","1,073",4.8
"Lake County, IL",7/19/2020,"387,122","372,238","14,884",3.8
"LaSalle County, IL",7/19/2020,"55,411","52,601","2,810",5.1
"Lawrence County, IL",7/19/2020,"5,925","5,613",312,5.3
"Lee County, IL",7/19/2020,"18,086","17,384",702,3.9
"Livingston County, IL",7/19/2020,"16,921","16,239",682,4
"Logan County, IL",7/19/2020,"12,732","12,126",606,4.8
"McDonough County, IL",7/19/2020,"12,616","11,647",969,7.7
"McHenry County, IL",7/19/2020,"167,835","161,935","5,900",3.5
"McLean County, IL",7/19/2020,"87,773","84,188","3,585",4.1
"Macon County, IL",7/19/2020,"49,761","46,994","2,767",5.6
"Macoupin County, IL",7/19/2020,"23,390","22,419",971,4.2
"Madison County, IL",7/19/2020,"136,614","130,903","5,711",4.2
"Marion County, IL",7/19/2020,"17,808","16,998",810,4.5
"Marshall County, IL",7/19/2020,"5,467","5,231",236,4.3
"Mason County, IL",7/19/2020,"6,456","6,119",337,5.2
"Massac County, IL",7/19/2020,"5,752","5,401",351,6.1
"Menard County, IL",7/19/2020,"6,599","6,382",217,3.3
"Mercer County, IL",7/19/2020,"8,329","7,990",339,4.1
"Monroe County, IL",7/19/2020,"19,133","18,507",626,3.3
"Montgomery County, IL",7/19/2020,"11,884","11,294",590,5
"Morgan County, IL",7/19/2020,"16,715","16,047",668,4
"Moultrie County, IL",7/19/2020,"7,816","7,532",284,3.6
"Ogle County, IL",7/19/2020,"25,324","24,116","1,208",4.8
"Peoria County, IL",7/19/2020,"87,057","82,656","4,401",5.1
"Perry County, IL",7/19/2020,"8,437","7,978",459,5.4
"Piatt County, IL",7/19/2020,"8,429","8,115",314,3.7
"Pike County, IL",7/19/2020,"7,208","6,919",289,4
"Pope County, IL",7/19/2020,"1,678","1,580",98,5.8
"Pulaski County, IL",7/19/2020,"1,946","1,821",125,6.4
"Putnam County, IL",7/19/2020,"3,096","2,961",135,4.4
"Randolph County, IL",7/19/2020,"14,494","13,960",534,3.7
"Richland County, IL",7/19/2020,"7,376","7,073",303,4.1
"Rock Island County, IL",7/19/2020,"73,285","69,906","3,379",4.6
"St. Clair County, IL",7/19/2020,"128,900","122,729","6,171",4.8
"Saline County, IL",7/19/2020,"9,585","9,066",519,5.4
"Sangamon County, IL",7/19/2020,"102,774","98,562","4,212",4.1
"Schuyler County, IL",7/19/2020,"3,346","3,199",147,4.4
"Scott County, IL",7/19/2020,"2,565","2,463",102,4
"Shelby County, IL",7/19/2020,"10,859","10,430",429,4
"Stark County, IL",7/19/2020,"2,617","2,483",134,5.1
"Stephenson County, IL",7/19/2020,"22,292","21,309",983,4.4
"Tazewell County, IL",7/19/2020,"65,468","62,635","2,833",4.3
"Union County, IL",7/19/2020,"7,457","7,062",395,5.3
"Vermilion County, IL",7/19/2020,"33,538","31,719","1,819",5.4
"Wabash County, IL",7/19/2020,"5,975","5,732",243,4.1
"Warren County, IL",7/19/2020,"8,656","8,274",382,4.4
"Washington County, IL",7/19/2020,"10,577","10,312",265,2.5
"Wayne County, IL",7/19/2020,"7,095","6,756",339,4.8
"White County, IL",7/19/2020,"6,654","6,404",250,3.8
"Whiteside County, IL",7/19/2020,"29,226","27,985","1,241",4.2
"Will County, IL",7/19/2020,"363,232","348,073","15,159",4.2
"Williamson County, IL",7/19/2020,"31,901","30,482","1,419",4.4
"Winnebago County, IL",7/19/2020,"143,053","133,481","9,572",6.7
"Woodford County, IL",7/19/2020,"19,250","18,566",684,3.6
"Adams County, IN",7/19/2020,"17,374","16,802",572,3.3
"Allen County, IN",7/19/2020,"188,704","182,227","6,477",3.4
"Bartholomew County, IN",7/19/2020,"45,627","44,453","1,174",2.6
"Benton County, IN",7/19/2020,"4,596","4,438",158,3.4
"Blackford County, IN",7/19/2020,"5,068","4,877",191,3.8
"Boone County, IN",7/19/2020,"37,148","36,179",969,2.6
"Brown County, IN",7/19/2020,"7,891","7,655",236,3
"Carroll County, IN",7/19/2020,"10,204","9,891",313,3.1
"Cass County, IN",7/19/2020,"17,974","17,355",619,3.4
"Clark County, IN",7/19/2020,"62,933","60,669","2,264",3.6
"Clay County, IN",7/19/2020,"12,112","11,684",428,3.5
"Clinton County, IN",7/19/2020,"17,415","16,930",485,2.8
"Crawford County, IN",7/19/2020,"4,903","4,712",191,3.9
"Daviess County, IN",7/19/2020,"17,163","16,696",467,2.7
"Dearborn County, IN",7/19/2020,"26,482","25,503",979,3.7
"Decatur County, IN",7/19/2020,"15,330","14,898",432,2.8
"DeKalb County, IN",7/19/2020,"23,244","22,537",707,3
"Delaware County, IN",7/19/2020,"52,618","50,405","2,213",4.2
"Dubois County, IN",7/19/2020,"23,783","23,172",611,2.6
"Elkhart County, IN",7/19/2020,"110,236","106,100","4,136",3.8
"Fayette County, IN",7/19/2020,"8,698","8,250",448,5.2
"Floyd County, IN",7/19/2020,"42,454","41,057","1,397",3.3
"Fountain County, IN",7/19/2020,"8,213","7,927",286,3.5
"Franklin County, IN",7/19/2020,"11,674","11,269",405,3.5
"Fulton County, IN",7/19/2020,"10,301","9,999",302,2.9
"Gibson County, IN",7/19/2020,"19,724","19,216",508,2.6
"Grant County, IN",7/19/2020,"31,032","29,800","1,232",4
"Greene County, IN",7/19/2020,"13,429","12,888",541,4
"Hamilton County, IN",7/19/2020,"187,609","182,562","5,047",2.7
"Hancock County, IN",7/19/2020,"41,201","39,948","1,253",3
"Harrison County, IN",7/19/2020,"20,748","20,032",716,3.5
"Hendricks County, IN",7/19/2020,"91,788","89,166","2,622",2.9
"Henry County, IN",7/19/2020,"22,323","21,558",765,3.4
"Howard County, IN",7/19/2020,"36,999","35,565","1,434",3.9
"Huntington County, IN",7/19/2020,"18,517","17,904",613,3.3
"Jackson County, IN",7/19/2020,"23,354","22,679",675,2.9
"Jasper County, IN",7/19/2020,"16,674","16,069",605,3.6
"Jay County, IN",7/19/2020,"9,701","9,419",282,2.9
"Jefferson County, IN",7/19/2020,"14,998","14,449",549,3.7
"Jennings County, IN",7/19/2020,"13,769","13,323",446,3.2
"Johnson County, IN",7/19/2020,"84,733","82,356","2,377",2.8
"Knox County, IN",7/19/2020,"18,742","18,119",623,3.3
"Kosciusko County, IN",7/19/2020,"43,042","41,676","1,366",3.2
"LaGrange County, IN",7/19/2020,"19,797","19,127",670,3.4
"Lake County, IN",7/19/2020,"233,882","222,404","11,478",4.9
"LaPorte County, IN",7/19/2020,"48,620","46,594","2,026",4.2
"Lawrence County, IN",7/19/2020,"20,813","20,048",765,3.7
"Madison County, IN",7/19/2020,"60,406","58,172","2,234",3.7
"Marion County, IN",7/19/2020,"500,782","483,288","17,494",3.5
"Marshall County, IN",7/19/2020,"23,949","23,161",788,3.3
"Martin County, IN",7/19/2020,"5,587","5,441",146,2.6
"Miami County, IN",7/19/2020,"15,529","14,898",631,4.1
"Monroe County, IN",7/19/2020,"66,723","64,208","2,515",3.8
"Montgomery County, IN",7/19/2020,"19,177","18,533",644,3.4
"Morgan County, IN",7/19/2020,"37,147","35,983","1,164",3.1
"Newton County, IN",7/19/2020,"7,172","6,870",302,4.2
"Noble County, IN",7/19/2020,"24,374","23,465",909,3.7
"Ohio County, IN",7/19/2020,"3,256","3,145",111,3.4
"Orange County, IN",7/19/2020,"8,687","8,368",319,3.7
"Owen County, IN",7/19/2020,"8,980","8,606",374,4.2
"Parke County, IN",7/19/2020,"7,342","7,064",278,3.8
"Perry County, IN",7/19/2020,"9,476","9,143",333,3.5
"Pike County, IN",7/19/2020,"6,265","6,051",214,3.4
"Porter County, IN",7/19/2020,"88,209","84,844","3,365",3.8
"Posey County, IN",7/19/2020,"13,894","13,493",401,2.9
"Pulaski County, IN",7/19/2020,"6,780","6,570",210,3.1
"Putnam County, IN",7/19/2020,"17,191","16,582",609,3.5
"Randolph County, IN",7/19/2020,"11,334","10,912",422,3.7
"Ripley County, IN",7/19/2020,"14,708","14,221",487,3.3
"Rush County, IN",7/19/2020,"9,264","9,005",259,2.8
"St. Joseph County, IN",7/19/2020,"135,395","130,043","5,352",4
"Scott County, IN",7/19/2020,"10,777","10,370",407,3.8
"Shelby County, IN",7/19/2020,"23,713","22,977",736,3.1
"Spencer County, IN",7/19/2020,"11,601","11,239",362,3.1
"Starke County, IN",7/19/2020,"10,088","9,654",434,4.3
"Steuben County, IN",7/19/2020,"21,342","20,748",594,2.8
"Sullivan County, IN",7/19/2020,"8,468","8,106",362,4.3
"Switzerland County, IN",7/19/2020,"5,112","4,937",175,3.4
"Tippecanoe County, IN",7/19/2020,"97,004","93,890","3,114",3.2
"Tipton County, IN",7/19/2020,"9,493","9,232",261,2.7
"Union County, IN",7/19/2020,"3,666","3,543",123,3.4
"Vanderburgh County, IN",7/19/2020,"95,824","92,710","3,114",3.2
"Vermillion County, IN",7/19/2020,"7,058","6,694",364,5.2
"Vigo County, IN",7/19/2020,"48,330","46,179","2,151",4.5
