County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
"Platte County, WY",9/19/2020,"4,639","4,489",150,3.2
"Sheridan County, WY",9/19/2020,"15,715","15,247",468,3
"Sublette County, WY",9/19/2020,"4,292","4,130",162,3.8
"Sweetwater County, WY",9/19/2020,"20,911","20,193",718,3.4
"Teton County, WY",9/19/2020,"16,399","16,067",332,2
"Uinta County, WY",9/19/2020,"8,969","8,640",329,3.7
"Washakie County, WY",9/19/2020,"3,923","3,793",130,3.3
"Weston County, WY",9/19/2020,"3,822","3,723",99,2.6
"Adjuntas Municipio, PR",9/19/2020,"4,043","3,470",573,14.2
"Aguada Municipio, PR",9/19/2020,"11,481","10,432","1,049",9.1
"Aguadilla Municipio, PR",9/19/2020,"14,152","12,757","1,395",9.9
"Aguas Buenas Municipio, PR",9/19/2020,"6,396","5,810",586,9.2
"Aibonito Municipio, PR",9/19/2020,"6,399","5,743",656,10.3
"Anasco Municipio, PR",9/19/2020,"8,590","7,894",696,8.1
"Arecibo Municipio, PR",9/19/2020,"23,523","21,338","2,185",9.3
"Arroyo Municipio, PR",9/19/2020,"4,476","3,921",555,12.4
"Barceloneta Municipio, PR",9/19/2020,"5,790","5,145",645,11.1
"Barranquitas Municipio, PR",9/19/2020,"7,220","6,592",628,8.7
"Bayamon Municipio, PR",9/19/2020,"63,780","59,692","4,088",6.4
"Cabo Rojo Municipio, PR",9/19/2020,"13,350","12,220","1,130",8.5
"Caguas Municipio, PR",9/19/2020,"46,634","43,488","3,146",6.7
"Camuy Municipio, PR",9/19/2020,"9,370","8,563",807,8.6
"Canovanas Municipio, PR",9/19/2020,"15,696","14,641","1,055",6.7
"Carolina Municipio, PR",9/19/2020,"60,105","56,504","3,601",6
"Catano Municipio, PR",9/19/2020,"7,652","7,082",570,7.4
"Cayey Municipio, PR",9/19/2020,"15,722","14,612","1,110",7.1
"Ceiba Municipio, PR",9/19/2020,"3,624","3,249",375,10.3
"Ciales Municipio, PR",9/19/2020,"3,630","3,226",404,11.1
"Cidra Municipio, PR",9/19/2020,"15,081","14,111",970,6.4
"Coamo Municipio, PR",9/19/2020,"9,867","8,640","1,227",12.4
"Comerio Municipio, PR",9/19/2020,"4,781","4,366",415,8.7
"Corozal Municipio, PR",9/19/2020,"8,756","7,966",790,9
"Culebra Municipio, PR",9/19/2020,884,853,31,3.5
"Dorado Municipio, PR",9/19/2020,"12,886","12,125",761,5.9
"Fajardo Municipio, PR",9/19/2020,"10,673","9,576","1,097",10.3
"Florida Municipio, PR",9/19/2020,"3,244","2,906",338,10.4
"Guanica Municipio, PR",9/19/2020,"3,999","3,365",634,15.9
"Guayama Municipio, PR",9/19/2020,"10,783","9,469","1,314",12.2
"Guayanilla Municipio, PR",9/19/2020,"5,110","4,421",689,13.5
"Guaynabo Municipio, PR",9/19/2020,"36,629","35,084","1,545",4.2
"Gurabo Municipio, PR",9/19/2020,"17,687","16,651","1,036",5.9
"Hatillo Municipio, PR",9/19/2020,"12,980","11,753","1,227",9.5
"Hormigueros Municipio, PR",9/19/2020,"5,236","4,797",439,8.4
"Humacao Municipio, PR",9/19/2020,"16,765","15,086","1,679",10
"Isabela Municipio, PR",9/19/2020,"12,012","10,963","1,049",8.7
"Jayuya Municipio, PR",9/19/2020,"4,173","3,578",595,14.3
"Juana Diaz Municipio, PR",9/19/2020,"14,745","13,231","1,514",10.3
"Juncos Municipio, PR",9/19/2020,"12,062","11,018","1,044",8.7
"Lajas Municipio, PR",9/19/2020,"5,109","4,473",636,12.4
"Lares Municipio, PR",9/19/2020,"6,776","5,927",849,12.5
"Las Marias Municipio, PR",9/19/2020,"2,502","2,215",287,11.5
"Las Piedras Municipio, PR",9/19/2020,"11,073","10,051","1,022",9.2
"Loiza Municipio, PR",9/19/2020,"8,277","7,608",669,8.1
"Luquillo Municipio, PR",9/19/2020,"6,055","5,474",581,9.6
"Manati Municipio, PR",9/19/2020,"11,224","10,307",917,8.2
"Maricao Municipio, PR",9/19/2020,"1,836","1,625",211,11.5
"Maunabo Municipio, PR",9/19/2020,"2,830","2,448",382,13.5
"Mayaguez Municipio, PR",9/19/2020,"21,269","19,081","2,188",10.3
"Moca Municipio, PR",9/19/2020,"10,171","9,177",994,9.8
"Morovis Municipio, PR",9/19/2020,"7,823","7,103",720,9.2
"Naguabo Municipio, PR",9/19/2020,"7,976","7,241",735,9.2
"Naranjito Municipio, PR",9/19/2020,"6,932","6,337",595,8.6
"Orocovis Municipio, PR",9/19/2020,"4,825","4,347",478,9.9
"Patillas Municipio, PR",9/19/2020,"4,077","3,548",529,13
"Penuelas Municipio, PR",9/19/2020,"5,801","4,956",845,14.6
"Ponce Municipio, PR",9/19/2020,"44,569","40,148","4,421",9.9
"Quebradillas Municipio, PR",9/19/2020,"5,901","5,256",645,10.9
"Rincon Municipio, PR",9/19/2020,"4,484","4,008",476,10.6
"Rio Grande Municipio, PR",9/19/2020,"16,548","15,343","1,205",7.3
"Sabana Grande Municipio, PR",9/19/2020,"6,067","5,312",755,12.4
"Salinas Municipio, PR",9/19/2020,"6,995","5,922","1,073",15.3
"San German Municipio, PR",9/19/2020,"9,542","8,506","1,036",10.9
"San Juan Municipio, PR",9/19/2020,"130,535","123,145","7,390",5.7
"San Lorenzo Municipio, PR",9/19/2020,"11,433","10,439",994,8.7
"San Sebastian Municipio, PR",9/19/2020,"9,982","8,762","1,220",12.2
"Santa Isabel Municipio, PR",9/19/2020,"7,729","6,592","1,137",14.7
