Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6
AUTO THEFT,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,ROBBERY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,ROBBERY,LARCENY-NON VEHICLE,AUTO THEFT
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,ROBBERY,LARCENY-NON VEHICLE,AUTO THEFT
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT,ROBBERY,BURGLARY
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY
AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,HOMICIDE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT
ROBBERY,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
