Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,AUTO THEFT,AGG ASSAULT,ROBBERY,LARCENY-NON VEHICLE
AGG ASSAULT,AUTO THEFT,BURGLARY,ROBBERY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT
ROBBERY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT
ROBBERY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,ROBBERY
AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,BURGLARY
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,BURGLARY
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
ROBBERY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,HOMICIDE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
HOMICIDE,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
ROBBERY,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
ROBBERY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,ROBBERY
LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,ROBBERY,LARCENY-NON VEHICLE,AGG ASSAULT
LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,ROBBERY,AGG ASSAULT,LARCENY-FROM VEHICLE
AUTO THEFT,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
ROBBERY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
ROBBERY,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE
ROBBERY,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
ROBBERY,ROBBERY,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,ROBBERY,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,ROBBERY,AGG ASSAULT
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,ROBBERY,BURGLARY
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,ROBBERY
LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,ROBBERY
AUTO THEFT,AUTO THEFT,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,AUTO THEFT,ROBBERY,LARCENY-FROM VEHICLE
BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,ROBBERY,LARCENY-FROM VEHICLE
BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
ROBBERY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,ROBBERY,ROBBERY
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT
BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,ROBBERY,LARCENY-FROM VEHICLE
AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
ROBBERY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,ROBBERY,LARCENY-FROM VEHICLE,BURGLARY
ROBBERY,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY
ROBBERY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY
ROBBERY,LARCENY-FROM VEHICLE,,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,,AGG ASSAULT,ROBBERY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,AUTO THEFT,,ROBBERY,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,,HOMICIDE,LARCENY-NON VEHICLE,AUTO THEFT
AUTO THEFT,AUTO THEFT,,ROBBERY,LARCENY-FROM VEHICLE,AUTO THEFT
AUTO THEFT,AUTO THEFT,,ROBBERY,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,,AGG ASSAULT,AUTO THEFT,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
ROBBERY,LARCENY-FROM VEHICLE,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
ROBBERY,LARCENY-FROM VEHICLE,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
ROBBERY,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
ROBBERY,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
ROBBERY,BURGLARY,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
ROBBERY,LARCENY-NON VEHICLE,,,AGG ASSAULT,LARCENY-FROM VEHICLE
ROBBERY,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,,,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AGG ASSAULT,,,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,ROBBERY,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,AGG ASSAULT
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,BURGLARY
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,BURGLARY
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,AUTO THEFT,,,BURGLARY,LARCENY-FROM VEHICLE
HOMICIDE,AUTO THEFT,,,ROBBERY,AUTO THEFT
ROBBERY,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,AUTO THEFT
ROBBERY,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,AUTO THEFT
ROBBERY,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,HOMICIDE,,,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,,,ROBBERY,LARCENY-FROM VEHICLE
,LARCENY-NON VEHICLE,,,AGG ASSAULT,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
,LARCENY-FROM VEHICLE,,,AUTO THEFT,BURGLARY
,LARCENY-FROM VEHICLE,,,AUTO THEFT,BURGLARY
,LARCENY-FROM VEHICLE,,,BURGLARY,BURGLARY
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,BURGLARY
